id	molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus
2803	C22H43O9P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphoglycerols
3563	C18H26O2	[M + H]+	Terpenoids	Steroids	Estrane steroids
6788	C8H12N4	[M + H]+	Alkaloids	Lysine alkaloids	Quinolizidine alkaloids
4846	C24H38O11	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
5117	C17H27NO9	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5198	C17H31N5O6	[M + Na]+	Carbohydrates	Pseudoalkaloids	Purine nucleos(t)ides
4881	C17H29NO2	[M + Na]+	Terpenoids	Sesquiterpenoids	Quinolizidine alkaloids
297	C10H8O4	[M + H]+	Polyketides	Cyclic polyketides	Cinnamic acids and derivatives
4983	C39H71NO8	[M + H]+	Polyketides	Macrolides	Open-chain polyketides
4876	C26H48O14	[M + Na]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
5864	C36H61NO10	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
3194	C20H39NO9	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
3687	C28H48FNO5	[M + H]+	Fatty acids	Fatty amides	Prostaglandins
3625	C11H21NO5	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
4236	C27H30O14	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavones
1218	C23H37N5O7	[M + H]+	Alkaloids	Ornithine alkaloids	Polyamines
7288	C32H38O19	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
6188	C27H32O17	[M + Na]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
5376	C25H34O10	[M + H]+	Terpenoids	Sesquiterpenoids	Cinnamic acids and derivatives
6182	C18H21NO3	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
5058	C11H19NO7	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
3337	C30H48	[M + H]+	Terpenoids	Triterpenoids	Filicane triterpenoids
2846	C24H38O3	[M + H]+	Terpenoids	Steroids	Cholane steroids
3165	C41H67N3O10	[M + H]+	Polyketides	Macrolides	Depsipeptides
6641	C24H43N5O2	[M + H]+	Alkaloids	Fatty amides	N-acyl amines
4785	C22H28FN5O7	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
4643	C22H45NO4S2	[M + H]+	Terpenoids	Fatty amides	N-acyl amines
3504	C17H27FO2	[M + H]+	Terpenoids	Sesquiterpenoids	Acyclic monoterpenoids
4754	C19H36O10	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
3540	C26H44O10	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
4531	C38H61N11O7	[M + H]+	Amino acids and Peptides	Oligopeptides	Linear peptides
3054	C44H75N5O6	[M + H]+	Fatty acids	Glycerolipids	N-acyl amines
2847	C20H21NO5	[M + H]+	Shikimates and Phenylpropanoids	Nicotinic acid alkaloids	Pyridine alkaloids
4658	C21H36O4	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
4698	C24H45NO5	[M + H]+	Fatty acids	Sphingolipids	Open-chain polyketides
5230	C15H23NO10	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
6183	C16H17NO9	[M + H]+	Amino acids and Peptides	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
5260	C8H14FNO4	[M + H]+	Alkaloids	Aminosugars and aminoglycosides	Aminosugars
4819	C32H54N2O4	[M + H]+	Fatty acids	Fatty amides	N-acyl amines
5259	C25H31N5O11	[M + H]+	Alkaloids	Tryptophan alkaloids	Purine nucleos(t)ides
5875	C30H48O8	[M + H]+	Terpenoids	Steroids	Cholane steroids
4844	C15H22O12	[M + K]+	Fatty acids	Fatty acyl glycosides	Disaccharides
3606	C23H35N3O6	[M + H]+	Alkaloids	Fatty amides	Pyridine alkaloids
2860	C11H23N4O2P	[M + H]+	Terpenoids	Monoterpenoids	Monocyclic monoterpenoids
3365	C20H23N5O8	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
7292	C4H2O4S4	[M + Na]+	Shikimates and Phenylpropanoids	Fatty acyls	Aminoacids
3047	C37H60O6	[M + K]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
3431	C19H37NO13	[M + H]+	Carbohydrates	Polyols	Aminosugars
5553	C20H27N5O4	[M + H]+	Carbohydrates	Small peptides	Purine nucleos(t)ides
3830	C24H28N6O9S2	[M + H]+	Amino acids and Peptides	β-lactams	Cephalosporins
5862	C13H9FN2O4	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
3422	C20H32O2	[M + H]+	Terpenoids	Diterpenoids	Labdane diterpenoids
1918	C13H27FO2	[M + H]+	Fatty acids	Fatty acyls	Fatty alcohols
6758	C44H67N5O4	[M + H]+	Fatty acids	Nicotinic acid alkaloids	Pyridine alkaloids
5737	C28H32O17	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
4930	C21H18O11	[M + H]+	Polyketides	Polycyclic aromatic polyketides	Anthraquinones and anthrones
3510	C33H58O10	[M + H]+	Fatty acids	Fatty acyl glycosides	Labdane diterpenoids
4237	C16H18N2O6	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
2785	C26H48O4	[M + H]+	Fatty acids	Fatty esters	Wax monoesters
3835	C34H34N4O4	[M + H]+	Alkaloids	Tryptophan alkaloids	Carboline alkaloids
4305	C16H30O9	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
4212	C11H14O6	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
5867	C13H19NO3S	[M + H]+	Alkaloids	Tyrosine alkaloids	Phenylethylamines
534	C11H14O	[M + H]+	Terpenoids	Monoterpenoids	Menthane monoterpenoids
5842	C30H34N6O8	[M + H]+	Alkaloids	Tryptophan alkaloids	Carboline alkaloids
630	C15H32N2O3	[M + H]+	Fatty acids	Fatty amides	N-acyl amines
6648	C35H54N2O10	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
6627	C14H13BFNO3S	[M + H]+	Alkaloids	Small peptides	Pinane monoterpenoids
4640	C21H33F3O4	[M + H]+	Fatty acids	Eicosanoids	Prostaglandins
5075	C10H16O	[M + H]+	Terpenoids	Monoterpenoids	Menthane monoterpenoids
5395	C12H13O10P	[M + K]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
5480	C25H33NO12	[M + H]+	Alkaloids	Tryptophan alkaloids	Secoiridoid monoterpenoids
4351	C20H23NO6	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple phenolic acids
3949	C20H32O9	[M + Na]+	Terpenoids	Sesquiterpenoids	Open-chain polyketides
5135	C33H55N7O9	[M + H]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
3542	C39H67NO6	[M + H]+	Fatty acids	Steroids	Open-chain polyketides
4536	C19H25NO8	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
3543	C46H81N3O3	[M + K]+	Fatty acids	Steroids	Ceramides
5717	C16H24O2	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
4789	C18H28O4	[M + H]+	Terpenoids	Octadecanoids	Prenyl quinone meroterpenoids
4373	C29H36N2O11	[M + H]+	Alkaloids	Tryptophan alkaloids	Betalain alkaloids
5840	C35H56N2O7	[M + H]+	Polyketides	Macrolides	Depsipeptides
6187	C33H38O21	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
3242	C16H16O8	[M + H]+	Polyketides	Cyclic polyketides	Fungal DPEs
5492	C15H20O7	[M + H]+	Shikimates and Phenylpropanoids	Monoterpenoids	Picrotoxane sesquiterpenoids
3473	C30H38O2	[M + H]+	Terpenoids	Apocarotenoids	Apocarotenoids (β-)
6023	C14H28N3O7P	[M + Na]+	Carbohydrates	Glycerophospholipids	Aminoacids
6815	C15H25N2O	[M + Na]+	Alkaloids	Pseudoalkaloids	Terpenoid alkaloids
5948	C20H27NO15	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4847	C22H28N2O7	[M + H]+	Alkaloids	Small peptides	Dipeptides
4644	C25H43NO4	[M + Na]+	Fatty acids	Fatty esters	Phenylalanine-derived alkaloids
2726	C37H40N4O5	[M + H]+	Alkaloids	Tryptophan alkaloids	Carboline alkaloids
2784	C22H35F2N5O3	[M + Na]+	Alkaloids	Small peptides	Pyridine alkaloids
5223	C30H48O8	[M + H]+	Terpenoids	Steroids	Cholane steroids
3244	C12H18O9	[M + H]+	Carbohydrates	Saccharides	Disaccharides
3486	C15H25NO9	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
989	C18H26N2O8	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
3923	C19H31N3O8	[M + H]+	Alkaloids	Nucleosides	Pyrimidine nucleos(t)ides
1006	C44H76NO11P	[M + H]+	Fatty acids	Glycerophospholipids	Oxidized glycerophospholipids
4512	C27H47NO11	[M + H]+	Amino acids and Peptides	Pseudoalkaloids (transamidation)	Megastigmanes
3046	C26H36O10	[M + H]+	Terpenoids	Steroids	Cardenolides
3439	C37H64O4	[M + H]+	Fatty acids	Glycerolipids	Diacylglycerols
3696	C30H20O10	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavones
2088	C27H51NO16	[M + H]+	Carbohydrates	Polyols	Amino cyclitols
4642	C43H71N5O9	[M + H]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
2814	C20H26F2O5	[M + H]+	Terpenoids	Steroids	Pregnane steroids
3284	C14H31NO8	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
2868	C30H41N5O8	[M + H]+	Alkaloids	Eicosanoids	Leukotrienes
2698	C11H29N5O3	[M + K]+	Fatty acids	Peptide alkaloids	Polyamines
928	C31H47F2N5O2	[M + H]+	Alkaloids	Ornithine alkaloids	Tropane alkaloids
5804	C17H22BFO3	[M + H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
5286	C17H31NO5	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Open-chain polyketides
4307	C16H34O11	[M + H]+	Fatty acids	Monoterpenoids	Acyclic monoterpenoids
3296	C10H14O4	[M + H]+	Polyketides	Macrolides	Macrolide lactones
4440	C21H28N2O8	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
2168	C16H17NO3	[M + H]+	Amino acids and Peptides	Phenylpropanoids (C6-C3)	Cinnamic acid amides
7259	C31H32O9	[M + H]+	Shikimates and Phenylpropanoids	Lignans	Stilbenolignans
5091	C40H56O4	[M + H]+	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)
5444	C28H37NO12	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
5308	C18H30O4	[M + Na]+	Fatty acids	Eicosanoids	Prostaglandins
4383	C29H45NO6	[M + H]+	Terpenoids	Diterpenoids	Simple coumarins
3965	C20H37NO8	[M + H]+	Amino acids and Peptides	Macrolides	Erythromycins
2647	C30H58O5	[M + H]+	Fatty acids	Glycerolipids	Diacylglycerols
4991	C18H29NO10	[M + H]+	Amino acids and Peptides	Monoterpenoids	Iridoids monoterpenoids
3196	C25H31NO12	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
2075	C17H26O11	[M + Na]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
5743	C12H20O9	[M + H]+	Carbohydrates	Saccharides	Disaccharides
4396	C13H18N2O3	[M + H]+	Alkaloids	Ornithine alkaloids	Polyamines
4030	C17H31NO9	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
596	C21H35NO10	[M + H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple amide alkaloids
5333	C24H38O4	[M + Na]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
413	C14H17N5O4	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
868	C23H32O4	[M + H]+	Terpenoids	Diterpenoids	Labdane diterpenoids
3794	C17H24N3O7P	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
3191	C14H20O7	[M + H]+	Shikimates and Phenylpropanoids	Phenylethanoids (C6-C2)	Phenylethanoids
5453	C19H37NO8	[M + H]+	Amino acids and Peptides	Apocarotenoids	Megastigmanes
3339	C18H29N2O5P	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
6001	C18H25NO13	[M + H]+	Carbohydrates	Phenolic acids (C6-C1)	Simple phenolic acids
999	C20H28O2	[M + H]+	Terpenoids	Apocarotenoids	Apocarotenoids (β-)
381	C4H5O8P	[M + Na]+	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids
29	C13H23NO3	[M + H]+	Fatty acids	Fatty esters	Phenylethylamines
3158	C25H28O13	[M + Na]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
1199	C22H44NO2	[M + Na]+	Fatty acids	Diterpenoids	N-acyl ethanolamines (endocannabinoids)
4934	C21H31NO14	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
6153	C12H17FO8	[M + H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
4324	C19H31NO10	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
4408	C11H20FNO4	[M + H]+	Alkaloids	Pseudoalkaloids	Pyrrolidine alkaloids
6876	C15H17NO3	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids
5505	C19H31NO10	[M + H]+	Carbohydrates	Linear polyketides	Open-chain polyketides
3332	C4H7NO7	[M + K]+	Amino acids and Peptides	Small peptides	Aminoacids
684	C19H29NO9	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
4228	C13H13NO5	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids
803	C38H46N10O12	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
5808	C17H27NO7	[M + H]+	Amino acids and Peptides	Linear polyketides	Prostaglandins
5104	C22H25N5O5	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
122	C18H26O	[M + H]+	Terpenoids	Apocarotenoids	Apocarotenoids (β-)
2117	C21H39NO8	[M + H]+	Terpenoids	Sesquiterpenoids	Megastigmanes
4788	C19H32O6	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
4404	C35H52O6	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
120	C27H30O16	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
5858	C27H38O12	[M + Na]+	Terpenoids	Sesquiterpenoids	Macrolide lactones
162	C25H31N5O9	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
4006	C16H31N9O5	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
7277	C37H48N4O8	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
2886	C30H46O4	[M + H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
1007	C37H66O6	[M + H]+	Fatty acids	Glycerolipids	Diacylglycerols
5482	C36H44O18	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
3742	C27H28O18	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
3478	C27H38O12	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
5771	C13H27B2N4O4P	[M + H]+	Alkaloids	Small peptides	Pinane monoterpenoids
2918	C19H23NO5	[M + H]+	Alkaloids	Macrolides	Pyridine alkaloids
2204	C26H44O11	[M + H]+	Terpenoids	Diterpenoids	Eudesmane sesquiterpenoids
4468	C4H10O9	[M + H]+	Carbohydrates	Saccharides	Monosaccharides
6699	C31H56O10	[M + Na]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
63	C43H70O10	[M + Na]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
5368	C8H11NO2	[M + H]+	Alkaloids	Tyrosine alkaloids	Phenylethylamines
564	C18H33NO8	[M + H]+	Amino acids and Peptides	Fatty acyl glycosides	Acyclic monoterpenoids
1225	C18H32N2O9	[M + K]+	Carbohydrates	Polyols	Amino cyclitols
329	C22H39NO13	[M + H]+	Alkaloids	Monoterpenoids	Acyclic monoterpenoids
3249	C26H26O12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
6830	C19H22NO4PS	[M + H]+	Shikimates and Phenylpropanoids	Monoterpenoids	Piperidine alkaloids
5222	C21H37N5O6	[M + H]+	Carbohydrates	Small peptides	Tripeptides
3747	C6H14N4O2	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
1051	C26H46O3	[M + H]+	Fatty acids	Steroids	Cholestane steroids
2755	C29H50O5	[M + H]+	Terpenoids	Linear polyketides	Prenyl quinone meroterpenoids
6708	C30H51N5O6	[M + H]+	Fatty acids	Peptide alkaloids	Simple amide alkaloids
3626	C17H34N2O12P2	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
3128	C9H14B2O6	[M + K]+	Terpenoids	Monoterpenoids	Monosaccharides
3681	C31H60	[M + H]+	Terpenoids	Triterpenoids	Cholestane steroids
6751	C26H54N3O6P	[M + H]+	Fatty acids	Fatty amides	N-acyl amines
4845	C17H25NO11	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5972	C23H33N7O12P2	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
4323	C27H40O2	[M + H]+	Terpenoids	Triterpenoids	Lupane triterpenoids
4757	C14H35N5O2	[M + K]+	Fatty acids	Fatty acyls	Fatty alcohols
6790	C18H30O2	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
2877	C16H19NO5	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
2628	C11H22N2O6	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
4905	C12H16O4	[M + H]+	Terpenoids	Monoterpenoids	Camphane monoterpenoids
7251	C16H17NO2	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
4585	C13H18	[M + H]+	Terpenoids	Monoterpenoids	Guaiane sesquiterpenoids
5907	C20H23NO6	[M + H]+	Alkaloids	Tyrosine alkaloids	Phenylethylamines
2202	C17H26O9	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
790	C15H20N6O8	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
589	C18H20O5	[M + H]+	Shikimates and Phenylpropanoids	Stilbenoids	Monomeric stilbenes
5359	C20H23NO5	[M + H]+	Terpenoids	Tyrosine alkaloids	Corynanthe type
500	C34H40O10	[M + H]+	Terpenoids	Meroterpenoids	Tetraketide meroterpenoids
322	C10H10O4	[M + H]+	Polyketides	Cyclic polyketides	2-pyrone derivatives
936	C28H46O4	[M + H]+	Polyketides	Meroterpenoids	Prenyl quinone meroterpenoids
4090	C18H38FNO7	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
132	C6H9BNO4	[M + Na]+	Amino acids and Peptides	Small peptides	Aminoacids
5860	C26H41NO13	[M + H]+	Alkaloids	Monoterpenoids	Terpenoid tetrahydroisoquinoline alkaloids
4175	C20H32O8	[M + Na]+	Terpenoids	Sesquiterpenoids	Illudane sesquiterpenoids
1093	C7H14F2O5S	[M + H]+	Fatty acids	Fatty acyls	Wax monoesters
4849	C12H18O4	[M + H]+	Polyketides	Cyclic polyketides	2-pyrone derivatives
3317	C17H33NO7	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
3964	C19H25N5O3	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
5400	C14H15NO5	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
1451	C9H15NO4	[M + H]+	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids
2040	C36H71NO7	[M + H]+	Fatty acids	Sphingolipids	Neutral glycosphingolipids
4119	C27H45N5O8	[M + H]+	Amino acids and Peptides	Oligopeptides	Linear peptides
3685	C13H22O3	[M + H]+	Fatty acids	Octadecanoids	Jasmonic acids
2651	C11H11NO3	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
171	C18H25NO9	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
4099	C30H26O14	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavones
586	C29H39NO14	[M + H]+	Shikimates and Phenylpropanoids	Tyrosine alkaloids	Phenylethanoids
1097	C11H16O2	[M + H]+	Terpenoids	Monoterpenoids	Jasmonic acids
1021	C13H13NO7	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
980	C20H34O11	[M + Na]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
5093	C35H55NO11	[M + H]+	Polyketides	Macrolides	Macrolide lactones
3932	C27H45NO10	[M + H]+	Amino acids and Peptides	Sphingolipids	Glycosylmonoacylglycerols
6706	C25H27NO12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
5811	C9H15FO7	[M + H]+	Carbohydrates	Saccharides	Wax monoesters
1949	C14H17NO5	[M + H]+	Alkaloids	Lysine alkaloids	Anthranillic acid derivatives
737	C12H18O4	[M + H]+	Polyketides	Linear polyketides	Miscellaneous polyketides
2894	C22H30N4O7	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
1087	C19H36N4O3S	[M + H]+	Terpenoids	Diterpenoids	Farnesane sesquiterpenoids
4728	C25H41NO6	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
330	C23H43NO11	[M + H]+	Terpenoids	Apocarotenoids	Amino cyclitols
3482	C36H67NO8	[M + H]+	Polyketides	Macrolides	Erythromycins
2039	C19H26BFO4	[M + H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
1453	C29H50O4	[M + H]+	Terpenoids	Triterpenoids	Dammarane and Protostane triterpenoids
4586	C14H26N2O4	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
3270	C27H48O4	[M + H]+	Terpenoids	Steroids	Cholestane steroids
3814	C13H12O9	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4284	C42H80NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
4702	C16H26O7	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
328	C21H36O6	[M + Na]+	Fatty acids	Glycerolipids	Monoacylglycerols
1192	C18H30O4	[M + H]+	Fatty acids	Octadecanoids	Other Octadecanoids
30	C16H25NO11	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
1273	C14H31N5O4	[M + Na]+	Amino acids and Peptides	Small peptides	Tripeptides
76	C15H18O9	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4902	C24H21N5O9	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
4098	C18H29NO5	[M + H]+	Fatty acids	Small peptides	Dipeptides
924	C27H46O3	[M + H]+	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids
4089	C29H35N3O8	[M + H]+	Alkaloids	Tryptophan alkaloids	Carboline alkaloids
2996	C33H59NO4	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
3893	C12H22O3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
5701	C13H27NO8	[M + H]+	Carbohydrates	Aminosugars and aminoglycosides	Aminosugars
2888	C18H35FO4	[M + H]+	Fatty acids	Glycerolipids	Fatty alcohols
4112	C18H33NO9	[M + H]+	Amino acids and Peptides	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
4517	C23H37N3O6	[M + H]+	Amino acids and Peptides	Small peptides	Depsipeptides
4108	C40H67N5O3	[M + H]+	Terpenoids	Steroids	Ceramides
5990	C15H12O7	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
2070	C11H14O5	[M + Na]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
1012	C19H28O7	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
931	C22H26O	[M + H]+	Terpenoids	Steroids	Pregnane steroids
2044	C18H26O13	[M + H]+	Terpenoids	Monoterpenoids	Disaccharides
1457	C23H38NO3P	[M + H]+	Terpenoids	Diterpenoids	Open-chain polyketides
2249	C19H35NO10	[M + H]+	Carbohydrates	Polyols	Amino cyclitols
933	C31H48O4	[M + H]+	Terpenoids	Triterpenoids	Lanostane, Tirucallane and Euphane triterpenoids
6632	C33H38N2O12	[M + H]+	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids
262	C18H30O4	[M + Na]+	Terpenoids	Cyclic polyketides	12-oxophytodienoic acid metabolites
1709	C26H52O9	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
3389	C18H36FN5O8	[M + Na]+	Carbohydrates	Polyols	Amino cyclitols
1987	C25H24O12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
1699	C16H32N6O5	[M + H]+	Alkaloids	Ornithine alkaloids	Dipeptides
71	C11H12N2O2	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
1694	C19H35NO5	[M + H]+	Alkaloids	Linear polyketides	Open-chain polyketides
1950	C17H29NO10	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
906	C26H36O11	[M + Na]+	Shikimates and Phenylpropanoids	Lignans	Neolignans
4274	C29H44O	[M + H]+	Terpenoids	Triterpenoids	Lupane triterpenoids
5638	C15H20O4	[M + H]+	Terpenoids	Sesquiterpenoids	Eremophilane sesquiterpenoids
2583	C10H13NO2	[M + K]+	Amino acids and Peptides	Small peptides	Aminoacids
4604	C9H18N2O4	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
144	C28H41NO11	[M + H]+	Alkaloids	Tyrosine alkaloids	Terpenoid tetrahydroisoquinoline alkaloids
1171	C17H29NO9	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
1086	C21H36O3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Epoxy fatty acids
4588	C29H58O4	[M + H]+	Fatty acids	Glycerolipids	Baccharane triterpenoids
2199	C17H19NO3	[M + H]+	Amino acids and Peptides	Phenylpropanoids (C6-C3)	Cinnamic acid amides
4106	C40H74NO10P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphoserines
6827	C7H12N4	[M + H]+	Alkaloids	Histidine alkaloids	Imidazole alkaloids
5559	C22H35FN6O2	[M + H]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
2635	C27H52O	[M + H]+	Terpenoids	Triterpenoids	Fatty alcohols
215	C18H37NO3	[M + H]+	Fatty acids	Sphingolipids	Sphingoid bases
1089	C19H33N2O2	[M + Na]+	Alkaloids	Pseudoalkaloids	Terpenoid alkaloids
5744	C32H40O18	[M + Na]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
