rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
874	1	1	10	0.13939765717465483	-131.28733248142538	N/A	94.68891627782025	C18H29NO9	[M + H]+	CHWDORPZLLLSNO	InChI=1S/C18H29NO9/c1-7-9(2)25-18-15(19-10(3)20)17(27-13(6)23)16(26-12(5)22)14(28-18)8-24-11(4)21/h9,14-18H,7-8H2,1-6H3,(H,19,20)	(5-acetamido-3,4-diacetyloxy-6-butan-2-yloxyoxan-2-yl)methyl acetate	CCC(C)OC1C(C(C(C(O1)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C	0.400000006	5174147;18805103	PubChem:(5174147 18805103)	2	404.1914978027344	197.393604	6246_cdhrc_dbgi_alc_pos_sirius_5769
875	1	1	9	0.1391859826786471	-150.60338279769164	N/A	9.819428191730083	C25H46O15	[M + Na]+	CTGHLADXPQVZNJ	InChI=1S/C25H46O15/c1-10-11(7-26)37-24(18(32)14(10)28)40-21-16(30)13(39-23(20(21)34)35-6-5-25(2,3)4)9-36-22-19(33)17(31)15(29)12(8-27)38-22/h10-24,26-34H,5-9H2,1-4H3	null	CC1C(OC(C(C1O)O)OC2C(C(OC(C2O)OCCC(C)(C)C)COC3C(C(C(C(O3)CO)O)O)O)O)CO	-2.79999995	58512995	PubChem:(58512995)	2	609.2711532332595	504.20664	3537_cdhrc_dbgi_alc_pos_sirius_4171
876	1	1	6	0.1390280244307338	-68.53700258385793	N/A	85.81083981222359	C12H18O9	[M + H]+	CUMRMKXAXIEPPL	InChI=1S/C12H18O9/c13-1-3-5(14)6(15)7(16)11(18-3)21-8-4-2-17-12(19-4)10-9(8)20-10/h3-16H,1-2H2	null	C1C2C(C3C(O3)C(O1)O2)OC4C(C(C(C(O4)CO)O)O)O	-2.70000005	88361687;88390925;122532643;122532657;138625154;138625155	PubChem:(88361687 88390925 122532643 122532657 138625154 138625155)	2	307.1022644042969	41.097963	2979_cdhrc_dbgi_alc_pos_sirius_3244
877	1	1	3	0.13886309433998026	-178.19573333491783	N/A	59.204423887446595	C20H21NO5	[M + H]+	OHULCNMWTHCPFK	InChI=1S/C20H21NO5/c1-14(22)16-7-9-18(10-8-16)26-13-19(23)21-12-11-15-3-5-17(6-4-15)20(24)25-2/h3-10H,11-13H2,1-2H3,(H,21,23)	null	CC(=O)C1=CC=C(C=C1)OCC(=O)NCCC2=CC=C(C=C2)C(=O)OC	2.70000005	55515209	PubChem:(55515209)	2	356.14937479660307	327.63870000000003	323_cdhrc_dbgi_alc_pos_sirius_2847
878	1	1	2	0.13859753372913666	-32.53162833454779	N/A	102.02715748943862	C6H13NO5	[M + H]+	FZHXIRIBWMQPQF	InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2	Manosamine	C(C(C(C(C(C=O)N)O)O)O)O	-3.70000005	91432;123961;318324;3034366;2794221;7015184;12171862;12171863;12172026;12172028;11593537;11687003;13726042;13726047;18594456;22806411;25167563;25167564;25167565;25788878;40484560;56845152;71774568;71306817;86306218;87228962;87356249;87881299;92148083;90477476;89860273;101915849;101915850;102601826;102602064;112756123;123736078;123883487;129629242;129643519;129716922;129736001;131632285;129774390;131854201;134692714;131977457	SuperNatural:(SN00156660 SN00227959);ZINC bio:(ZINC01995163 ZINC02508224 ZINC02556395 ZINC03650207 ZINC04353079 ZINC04353080 ZINC04353081 ZINC13507626);additional;MeSH:(123961 318324 2794221);PubMed;NORMAN:(NS00002826);COCONUT:(CNP0023247 CNP0148872);Natural Products:(UNPD43064);PubChem:(91432 123961 318324 3034366 2794221 7015184 12171862 12171863 12172026 12172028 11593537 11687003 13726042 13726047 18594456 22806411 25167563 25167564 25167565 25788878 40484560 56845152 71774568 71306817 86306218 87228962 87356249 87881299 92148083 90477476 89860273 101915849 101915850 102601826 102602064 112756123 123736078 123883487 129629242 129643519 129716922 129736001 131632285 129774390 131854201 134692714 131977457);YMDB Mine;CHEBI:(60313 28328 27503 20993);Training Set;KEGG Mine	42953662566	180.08631896972656	37.9187238	1043_cdhrc_dbgi_alc_pos_sirius_5411
879	1	1	4	0.13847015162801943	-79.841414593223	N/A	267.05413859017557	C14H32OP2	[M + H]+	OUXVOWHCYWRNJH	InChI=1S/C14H32OP2/c1-11(2)16(12(3)4)9-10-17(15,13(5)6)14(7)8/h11-14H,9-10H2,1-8H3	2-di(propan-2-yl)phosphorylethyl-di(propan-2-yl)phosphane	CC(C)P(CCP(=O)(C(C)C)C(C)C)C(C)C	2.29999995	616607	PubChem:(616607)	2	279.2004110927114	537.1337159999999	7109_cdhrc_dbgi_alc_pos_sirius_2984
880	1	1	3	0.13843085115809162	-81.49446548395215	N/A	13.176403464866176	C21H22O11	[M + Na]+	QELFZYXMLJAILU	InChI=1S/C21H22O11/c22-8-16-18(28)19(29)20(30)21(32-16)31-15-7-10(23)6-14(27)17(15)12(25)4-2-9-1-3-11(24)13(26)5-9/h1-7,16,18-24,26-30H,8H2	3,4,2'',4'',6''-Pentahydroxychalcone 2''-glucoside	C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O	0.699999988	42607611	COCONUT:(CNP0153623);KNApSAcK:(7914);Natural Products:(UNPD198742 UNPD27872 UNPD215985 UNPD150997);PubChem:(42607611);SuperNatural:(SN00400264 SN00256253);KEGG Mine	8593113106	473.1062344947324	195.497046	251_cdhrc_dbgi_alc_pos_sirius_5513
881	2	1	6	0.1382984751029485	-348.8336162972314	N/A	318.96989942136855	C43H79NO10	[M + H]+	WHQNUMWWAZDHJL	InChI=1S/C43H79NO10/c1-4-6-8-10-12-13-14-15-16-17-18-19-21-23-29-37(48)42(52)44-35(32-53-43-41(51)40(50)39(49)38(31-45)54-43)36(47)28-25-24-27-34(46)30-33(3)26-22-20-11-9-7-5-2/h25,28,35-41,43,45,47-51H,3-24,26-27,29-32H2,1-2H3,(H,44,52)	null	CCCCCCCCCCCCCCCCC(C(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCC(=O)CC(=C)CCCCCCCC)O)O	9.80000019	102454179	PubChem:(102454179)	2	770.5776808932308	714.5721	622_cdhrc_dbgi_alc_pos_sirius_3054
882	2	1	11	0.13787223131346407	-292.28466018123356	N/A	139.97658163551023	C35H50N4O8	[M + Na]+	PZAYBEZCIOGTPD	InChI=1S/C35H50N4O8/c1-9-22(2)39(31(43)26(19-20-28(36)41)38-33(45)47-35(6,7)8)29(24-15-17-25(40)18-16-24)30(42)37-27(32(44)46-34(3,4)5)21-23-13-11-10-12-14-23/h10-18,22,26-27,29,40H,9,19-21H2,1-8H3,(H2,36,41)(H,37,42)(H,38,45)	tert-butyl 2-[[2-[[5-amino-2-[(2-methylpropan-2-yl)oxycarbonylamino]-5-oxopentanoyl]-butan-2-ylamino]-2-(4-hydroxyphenyl)acetyl]amino]-3-phenylpropanoate	CCC(C)N(C(C1=CC=C(C=C1)O)C(=O)NC(CC2=CC=CC=C2)C(=O)OC(C)(C)C)C(=O)C(CCC(=O)N)NC(=O)OC(C)(C)C	4.5999999	18064490	PubChem:(18064490)	2	677.35467413686	383.51416800000004	1871_cdhrc_dbgi_alc_pos_sirius_7277
883	4	1	6	0.13767553001324465	-167.41902317398313	N/A	46.95290707009526	C21H42F2O5	[M + Na]+	ARONMEWHMDQFES	InChI=1S/C21H42F2O5/c1-7-17(27-16-21(22,23)18(8-2)26-14-13-25)19(5,9-3)15-28-20(6,10-4)11-12-24/h17-18,24-25H,7-16H2,1-6H3	null	CCC(C(C)(CC)COC(C)(CC)CCO)OCC(C(CC)OCCO)(F)F	4.0999999	117890767	PubChem:(117890767)	2	435.2891540527344	439.22458800000004	343_cdhrc_dbgi_alc_pos_sirius_3513
884	1	1	10	0.13752189366896814	-304.66147776191735	N/A	150.63429329373108	C32H51N5O10	[M + H]+	YIGYSTLHLXEOFU	InChI=1S/C32H51N5O10/c1-31(2,3)46-20-24(37-27(40)23(35-25(38)18-33)17-26(39)47-32(4,5)6)28(41)36-22(29(42)44-7)15-11-12-16-34-30(43)45-19-21-13-9-8-10-14-21/h8-10,13-14,22-24H,11-12,15-20,33H2,1-7H3,(H,34,43)(H,35,38)(H,36,41)(H,37,40)	null	CC(C)(C)OCC(C(=O)NC(CCCCNC(=O)OCC1=CC=CC=C1)C(=O)OC)NC(=O)C(CC(=O)OC(C)(C)C)NC(=O)CN	1.29999995	11158137	PubChem:(11158137)	2	666.3694207713305	363.852174	6458_cdhrc_dbgi_alc_pos_sirius_1641
885	3	1	10	0.13726357369445782	-176.81964930499058	N/A	56.362301172946005	C14H12N4O5S2	[M + H]+	QJPGUAANHUKLIC	InChI=1S/C14H12N4O5S2/c1-23-12(20)8-24-14-17-16-13(25-14)15-11(19)7-4-9-2-5-10(6-3-9)18(21)22/h2-7H,8H2,1H3,(H,15,16,19)	null	COC(=O)CSC1=NN=C(S1)NC(=O)C=CC2=CC=C(C=C2)[N+](=O)[O-]	2.5999999	100512977	PubChem:(100512977)	2	381.03068273380626	115.927482	1338_cdhrc_dbgi_alc_pos_sirius_5036
886	1	1	9	0.1368971039275265	-104.00820055928939	N/A	109.79870503124262	C17H26O5	[M + H]+	ALTIDZVIKTUDIA	InChI=1S/C17H26O5/c1-3-13(18)5-7-15(20)9-11-17(22)12-10-16(21)8-6-14(19)4-2/h3-12H2,1-2H3	null	CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CC	-0.800000012	89076201	PubChem:(89076201)	2	311.1852254050146	341.33146800000003	6678_cdhrc_dbgi_alc_pos_sirius_6514
887	1	1	9	0.13662168252763127	-147.41157096728276	N/A	111.8568484288149	C20H37NO8	[M + H]+	HNMPNIUHTIZXEF	InChI=1S/C20H37NO8/c22-13-14-18(26)19(27)17(20(28)29-14)21-15(23)11-9-7-5-3-1-2-4-6-8-10-12-16(24)25/h14,17-20,22,26-28H,1-13H2,(H,21,23)(H,24,25)	null	C(CCCCCCC(=O)O)CCCCCC(=O)NC1C(C(C(OC1O)CO)O)O	1.63642108	101516688	PubChem:(101516688)	2	420.25932309263294	195.579582	2838_cdhrc_dbgi_alc_pos_sirius_3965
888	1	1	6	0.13635536102996723	-110.0456330205721	N/A	128.08083691806436	C21H34O6	[M + H]+	QDWVWUOHQZJSOX	InChI=1S/C21H34O6/c1-6-11-23-17-19(25-13-8-3)21(27-15-10-5)20(26-14-9-4)18(16-22)24-12-7-2/h6-15,18-22H,16-17H2,1-5H3	null	CC=COCC(C(C(C(CO)OC=CC)OC=CC)OC=CC)OC=CC	4.0	87248396	PubChem:(87248396)	2	383.24268590313136	372.57314399999996	6314_cdhrc_dbgi_alc_pos_sirius_1524
889	1	1	5	0.1361334248547995	-94.89106946624999	N/A	114.60244310231845	C18H20O5	[M + H]+	YWHCEOPQSWIMOQ	InChI=1S/C18H20O5/c1-10-6-12-13(9-19)17(23-18(12)16(7-10)22-3)11-4-5-14(20)15(8-11)21-2/h4-8,13,17,19-20H,9H2,1-3H3	null	CC1=CC2=C(C(=C1)OC)OC(C2CO)C3=CC(=C(C=C3)O)OC	2.5	102444508	PubChem:(102444508)	2	317.13816764305926	208.87332600000002	3847_cdhrc_dbgi_alc_pos_sirius_589
890	7	1	9	0.13591354875677583	-90.63700976775274	N/A	31.98747209462559	C15H34NO6P	[M + Na]+	RRCFVEUHPZGOMU	InChI=1S/C15H34NO6P/c1-3-5-7-9-14(22-23(18,19)21-12-10-16)15(13-17)20-11-8-6-4-2/h14-15,17H,3-13,16H2,1-2H3,(H,18,19)	null	CCCCCC(C(CO)OCCCCC)OP(=O)(O)OCCN	-0.800000012	87151483	PubChem:(87151483)	2	378.20153200256743	241.85686199999998	6576_cdhrc_dbgi_alc_pos_sirius_490
891	1	1	1	0.13581414110775492	-10.27651337568045	N/A	23.23713833329122	C35H68NO8P	[M + H]+	YFIXORVTTBTJFP	InChI=1S/C35H68NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-34(37)41-31-33(32-43-45(39,40)42-30-29-36(3,4)5)44-35(38)28-26-24-22-19-17-15-13-11-9-7-2/h12,14,33H,6-11,13,15-32H2,1-5H3/p+1	1-(9Z-tetradecenoyl)-2-tridecanoyl-glycero-3-phosphocholine	CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCC)COP(=O)(O)OCC[N+](C)(C)C	9.89999962	52922242;52922243;134781044;134781045	PubChem:(52922242 52922243 134781044 134781045);Lipid:(PC 27:1)	4294967298	662.4787293876648	557.9492700000001	2025_cdhrc_dbgi_alc_pos_sirius_5337
892	4	1	4	0.13572487119830415	-330.2059482747291	N/A	56.87217150189026	C16H22BClN2O2	[M + K]+	PXIGQTASVWAGKX	InChI=1S/C16H22BClN2O2/c1-12(2)16(3,4)22-17(21)14-9-19-20(11-14)10-13-6-5-7-15(18)8-13/h5-9,11-12,21H,10H2,1-4H3	null	B(C1=CN(N=C1)CC2=CC(=CC=C2)Cl)(O)OC(C)(C)C(C)C	4.16240597	123505782	PubChem:(123505782)	2	358.11334228515625	132.847116	800_cdhrc_dbgi_alc_pos_sirius_5521
893	1	1	10	0.13567201710022436	-14.956113605518278	N/A	60.001095598249506	C27H30O16	[M + H]+	MCTZMXCUYPDYNE	InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(39-8)43-25-19(34)16-13(31)5-10(40-27-23(38)21(36)18(33)15(7-28)42-27)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3	Quercetin 3-rhamnoside-7-glucoside	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)O)O)O)O	-0.899999976	6325870;14484601;23304581;25245356;44259243;72187829;139031036	HMDB:(135150);SuperNatural:(SN00168195 SN00224214 SN00248122 SN00042586);ZINC bio:(ZINC77269228);additional;Plantcyc:(CPD-8011);PubMed;COCONUT:(CNP0291161);KNApSAcK:(5431);Natural Products:(UNPD14859 UNPD57433 UNPD66057);PubChem:(6325870 14484601 23304581 25245356 44259243 72187829 139031036);CHEBI:(133244);PubChem class - bio and metabolites;KEGG:(C19796);Training Set;Biocyc:(CPD-8011)	20638074	611.1607055664062	163.28826	4025_cdhrc_dbgi_alc_pos_sirius_4230
894	1	1	8	0.1354535017609291	-126.4852304808663	N/A	76.93012794575876	C17H29NO10	[M + H]+	HNEHIAKMTHNOMH	InChI=1S/C17H29NO10/c1-3-17(2,6-18)15-13(24)11(22)10(21)8(27-15)5-26-16-14(25)12(23)9(20)7(4-19)28-16/h7-16,19-25H,3-5H2,1-2H3	null	CCC(C)(C#N)C1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O	-2.68303967	""	COCONUT:(CNP0262274);Natural Products:(UNPD138058)	2129920	408.18604716726236	158.07036599999998	4620_cdhrc_dbgi_alc_pos_sirius_1950
895	1	1	3	0.13524031528050137	-101.49076319362645	N/A	16.83942958486145	C16H20O9	[M + Na]+	IEMIRSXOYFWPFD	InChI=1S/C16H20O9/c1-23-10-6-8(3-5-12(18)19)2-4-9(10)24-16-15(22)14(21)13(20)11(7-17)25-16/h2-6,11,13-17,20-22H,7H2,1H3,(H,18,19)	(Z)-3-[3-methoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid	COC1=C(C=CC(=C1)C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O	-0.404225945	9820054;11588491;13916048;13916049;24992652;51522668;67157226;73021256;91134292;101354883	COCONUT:(CNP0327207);KNApSAcK:(11171);Natural Products:(UNPD230585 UNPD134989 UNPD229057 UNPD65097 UNPD111918 UNPD210074);PubChem:(9820054 11588491 13916048 13916049 24992652 51522668 67157226 73021256 91134292 101354883);SuperNatural:(SN00306188 SN00294884 SN00313144);CHEBI:(141767 139435 139402);ZINC bio:(ZINC13507279);PubMed;KEGG Mine	8593121394	379.099959043754	187.515498	946_cdhrc_dbgi_alc_pos_sirius_5466
896	9	1	10	0.13515110908814137	-252.93760278654753	N/A	89.40661428910954	C41H73NO9	[M + K]+	ZIILJLJQJDTYAX	InChI=1S/C41H73NO9/c1-2-3-4-5-6-7-8-9-10-14-17-23-28-34(44)37(46)33(31-50-41-40(49)39(48)38(47)35(30-43)51-41)42-36(45)29-24-18-15-12-11-13-16-20-25-32-26-21-19-22-27-32/h19,21-22,26-27,33-35,37-41,43-44,46-49H,2-18,20,23-25,28-31H2,1H3,(H,42,45)	N-[(2S,3S,4R)-3,4-dihydroxy-1-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoctadecan-2-yl]-11-phenylundecanamide	CCCCCCCCCCCCCCC(C(C(COC1C(C(C(C(O1)CO)O)O)O)NC(=O)CCCCCCCCCCC2=CC=CC=C2)O)O	9.30000019	11571258;25134809;102255617;131989817	PubChem:(11571258 25134809 102255617 131989817);PubMed;CHEBI:(139167)	98	762.4903402782943	610.34604	1959_cdhrc_dbgi_alc_pos_sirius_3165
897	4	1	5	0.1350774878663622	-152.22616784745168	N/A	6.399920028702414	C10H24N2O2P2	[M + H]+	LDLAKWITISSTCZ	InChI=1S/C10H24N2O2P2/c1-9(2,3)11-15(7,13)12(10(4,5)6)16(11,8)14/h1-8H3	null	CC(C)(C)N1P(=O)(N(P1(=O)C)C(C)(C)C)C	1.10000002	12533173	PubChem:(12533173)	2	267.1384354268265	126.284634	4162_cdhrc_dbgi_alc_pos_sirius_1539
898	1	1	2	0.1350650173000626	-177.4165088233845	N/A	33.906477719995046	C14H15NO5	[M + H]+	YJQQHGWACZMKEC	InChI=1S/C14H15NO5/c1-15-10-6-12(19-3)11(18-2)5-8(10)9(7-16)13(15)14(17)20-4/h5-7H,1-4H3	methyl 3-formyl-5,6-dimethoxy-1-methylindole-2-carboxylate	CN1C2=CC(=C(C=C2C(=C1C(=O)OC)C=O)OC)OC	1.60000002	4777768	PubChem:(4777768)	2	278.1022489710923	145.272672	3968_cdhrc_dbgi_alc_pos_sirius_2036
899	2	1	6	0.1349563951399161	-264.96588523963857	N/A	20.568817114325014	C19H19FNO5P	[M + H]+	RZBQOONAXDIPKG	InChI=1S/C19H19FNO5P/c1-19(2)12-23-27(22,24-13-19)26-18(11-21)14-4-3-5-17(10-14)25-16-8-6-15(20)7-9-16/h3-10,18H,12-13H2,1-2H3	2-[(5,5-dimethyl-2-oxo-1,3,2$l^{5}-dioxaphosphinan-2-yl)oxy]-2-[3-(4-fluorophenoxy)phenyl]acetonitrile	CC1(COP(=O)(OC1)OC(C#N)C2=CC(=CC=C2)OC3=CC=C(C=C3)F)C	3.5999999	20566131	PubChem:(20566131)	2	392.1074732767666	110.814252	3032_cdhrc_dbgi_alc_pos_sirius_6830
900	6	1	10	0.13412879661079846	-407.91166329210694	N/A	23.82006340089128	C44H29NO6	[M + H]+	YKCYRKFZMSNHBR	InChI=1S/C44H29NO6/c46-34-17-20-38-40(24-34)50-41-25-35(49-26-27-10-11-29-8-4-5-9-32(29)22-27)18-21-39(41)44(38)37-19-16-33(23-36(37)43(48)51-44)45-42(47)31-14-12-30(13-15-31)28-6-2-1-3-7-28/h1-25,46H,26H2,(H,45,47)	null	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC4=C(C=C3)C5(C6=C(C=C(C=C6)O)OC7=C5C=CC(=C7)OCC8=CC9=CC=CC=C9C=C8)OC4=O	9.0	54512505	PubChem:(54512505)	2	668.2051486942704	631.3381800000001	2649_cdhrc_dbgi_alc_pos_sirius_2882
901	3	1	4	0.13411373198653967	-118.74963955585632	N/A	51.1582132573304	C14H19NO3	[M + H]+	CBAWSEMYWOEARV	InChI=1S/C14H19NO3/c1-9-12-6-13(16-2)14(18-8-11-7-17-11)5-10(12)3-4-15-9/h5-6,9,11,15H,3-4,7-8H2,1-2H3	null	CC1C2=CC(=C(C=C2CCN1)OCC3CO3)OC	1.39999998	82254424	PubChem:(82254424)	2	250.14382934570312	112.008294	42_cdhrc_dbgi_alc_pos_sirius_4408
902	1	1	11	0.13409032468377746	-259.4584660452216	N/A	81.55823685888839	C30H41N5O9	[M + H]+	KXFJGUSLAYUQEQ	InChI=1S/C30H41N5O9/c1-4-16(2)25(31)29(42)34-23(14-19-7-11-21(38)12-8-19)27(40)35-24(15-36)28(41)33-22(26(39)32-17(3)30(43)44)13-18-5-9-20(37)10-6-18/h5-12,16-17,22-25,36-38H,4,13-15,31H2,1-3H3,(H,32,39)(H,33,41)(H,34,42)(H,35,40)(H,43,44)	null	CCC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CO)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(C)C(=O)O)N	0.600809336	9917006	PubChem:(9917006)	2	616.2968831666959	187.808952	58_cdhrc_dbgi_alc_pos_sirius_3858
903	10	1	10	0.1340833213289516	-124.53904171140442	N/A	191.70608856604338	C24H60N9P3	[M + H]+	GJLDDTXKXLGKHY	InChI=1S/C24H60N9P3/c1-7-13-19-25-34(26-20-14-8-2)31-35(27-21-15-9-3,28-22-16-10-4)33-36(32-34,29-23-17-11-5)30-24-18-12-6/h25-30H,7-24H2,1-6H3	null	CCCCNP1(=NP(=NP(=N1)(NCCCC)NCCCC)(NCCCC)NCCCC)NCCCC	6.69999981	23419166	PubChem:(23419166)	2	568.4264765059819	652.76634	2003_cdhrc_dbgi_alc_pos_sirius_295
904	1	1	2	0.1338780985168323	-31.586789255772093	N/A	35.93265305456455	C9H10O	[M + H]+	POQJHLBMLVTHAU	InChI=1S/C9H10O/c1-7-3-4-9(6-10)5-8(7)2/h3-6H,1-2H3	4-Formyl-o-xylene	CC1=C(C=C(C=C1)C=O)C	2.54296207	22278;58478991	NORMAN:(NS00001758);COCONUT:(CNP0080124);PubChem:(22278 58478991);ZINC bio:(ZINC02146875);additional;EcoCyc Mine;MeSH:(22278);Training Set;PubMed;KEGG Mine	25772712006	135.08034640025227	208.676562	5818_cdhrc_dbgi_alc_pos_sirius_1813
905	6	1	11	0.133361362111397	-28.115253188331895	N/A	63.72145140788	C25H24O11	[M + H]+	PCMWSBGTYOCQCP	InChI=1S/C25H24O11/c26-16-6-1-14(2-7-16)4-9-22(31)36-23-19(29)12-25(34,24(32)33)13-20(23)35-21(30)10-5-15-3-8-17(27)18(28)11-15/h1-11,19-20,23,26-29,34H,12-13H2,(H,32,33)	null	C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC=C(C=C3)O)O	1.89999998	42598865;102383774	COCONUT:(CNP0077575);PubChem:(42598865 102383774);PubMed	2097218	501.138916015625	218.164218	6332_cdhrc_dbgi_alc_pos_sirius_6359
906	1	1	2	0.13303725592973648	-48.252858887489005	N/A	15.969151944103668	C19H30O8	[M + Na]+	PYYCXUBJCCEGKB	InChI=1S/C19H30O8/c1-10-6-11(22)7-19(2,3)13(10)5-4-12(8-20)26-18-17(25)16(24)15(23)14(9-21)27-18/h4-6,12-18,20-21,23-25H,7-9H2,1-3H3	4-[(E)-4-hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybut-1-enyl]-3,5,5-trimethylcyclohex-2-en-1-one	CC1=CC(=O)CC(C1C=CC(CO)OC2C(C(C(C(O2)CO)O)O)O)(C)C	-1.0	11338163;16081697;16081698;38354069;38354073;102136843;133556353	COCONUT:(CNP0195412);KNApSAcK:(34988);Natural Products:(UNPD164071 UNPD40257);PubChem:(11338163 16081697 16081698 38354069 38354073 102136843 133556353);SuperNatural:(SN00029180 SN00397508 SN00029181);CHEBI:(139451);ZINC bio:(ZINC31161212 ZINC31161216);additional;Training Set	3727410	409.18364073704277	214.090704	5067_cdhrc_dbgi_alc_pos_sirius_2223
907	1	1	1	0.13279704967450684	-203.2137297967944	N/A	7.804682739786467	C19H37N5O3	[M + H]+	NPNVBNQAFUBNRX	InChI=1S/C19H37N5O3/c1-12(2)8-15(20)18(26)23-16(9-13(3)4)19(27)24-7-5-6-14(11-24)22-10-17(21)25/h12-16,22H,5-11,20H2,1-4H3,(H2,21,25)(H,23,26)	null	CC(C)CC(C(=O)NC(CC(C)C)C(=O)N1CCCC(C1)NCC(=O)N)N	0.699999988	57341082;57341637	PubChem:(57341082 57341637);PubMed	66	384.29568144854227	268.555434	4809_cdhrc_dbgi_alc_pos_sirius_1176
908	2	1	10	0.13276415725949897	-202.73641072225024	N/A	48.6615036644092	C18H25N5O5	[M + H]+	ZHJQTTYJCXGVSZ	InChI=1S/C18H25N5O5/c1-18(2)27-13-11(6-24)26-17(14(13)28-18)23-8-21-12-15(19-7-20-16(12)23)22-9-4-3-5-10(9)25/h7-11,13-14,17,24-25H,3-6H2,1-2H3,(H,19,20,22)	2-[[9-[6-(hydroxymethyl)-2,2-dimethyl-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3]dioxol-4-yl]purin-6-yl]amino]cyclopentan-1-ol	CC1(OC2C(OC(C2O1)N3C=NC4=C(N=CN=C43)NC5CCCC5O)CO)C	0.100000001	14476838;14476839;18646121;89931387	PubChem:(14476838 14476839 18646121 89931387)	2	392.1911315917969	144.749886	4572_cdhrc_dbgi_alc_pos_sirius_1171
909	1	1	5	0.13263643191606894	-156.20207344174946	N/A	48.44991476733762	C15H23NO10	[M + H]+	AQHZRYXPOBWIIO	InChI=1S/C15H23NO10/c1-8(19)23-12(5-16-7-18)14(25-10(3)21)15(26-11(4)22)13(6-17)24-9(2)20/h7,12-15,17H,5-6H2,1-4H3,(H,16,18)	null	CC(=O)OC(CNC=O)C(C(C(CO)OC(=O)C)OC(=O)C)OC(=O)C	-1.29999995	58472242	PubChem:(58472242)	2	378.13966548298544	149.277372	572_cdhrc_dbgi_alc_pos_sirius_5230
910	1	1	10	0.13263443200132066	-9.070741945047004	N/A	58.517036735237824	C26H26O12	[M + H]+	HZQSTMDYOHETCT	InChI=1S/C26H26O12/c1-36-20-7-3-15(11-18(20)29)4-8-22(31)37-21-13-26(35,25(33)34)12-19(30)24(21)38-23(32)9-5-14-2-6-16(27)17(28)10-14/h2-11,19,21,24,27-30,35H,12-13H2,1H3,(H,33,34)	null	COC1=C(C=C(C=C1)C=CC(=O)OC2CC(CC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)O)(C(=O)O)O)O	1.89999998	42598867	PubChem:(42598867)	2	531.1497819072654	226.44889799999999	3416_cdhrc_dbgi_alc_pos_sirius_3249
911	1	1	11	0.13263115101719491	-106.41364389253154	N/A	82.55096900178621	C26H44O11	[M + H]+	YJEWWGZLFJKVDH	InChI=1S/C26H44O11/c1-22(2)15(28)7-14-24(4,34)13-6-5-11-20(33)25(13,8-16(29)26(14,22)35)10-23(11,3)37-21-19(32)18(31)17(30)12(9-27)36-21/h11-21,27-35H,5-10H2,1-4H3	null	CC1(C(CC2C1(C(CC34CC(C(C3O)CCC4C2(C)O)(C)OC5C(C(C(C(O5)CO)O)O)O)O)O)O)C	-1.25857723	101224095	PubChem:(101224095)	2	533.2949309219496	230.65914	3892_cdhrc_dbgi_alc_pos_sirius_2204
