confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
431	1	1	1	6	0.22827596294588823	-123.72932445936232	0.3703517587939699	31.25754143808028	C23H41NO13	[M + K]+	QSHGZHOVGZEDFX	InChI=1S/C23H41NO13/c1-12(27)24-16-21(37-23-20(33)19(32)17(30)13(10-25)36-23)18(31)14(11-26)35-22(16)34-9-7-5-3-2-4-6-8-15(28)29/h13-14,16-23,25-26,30-33H,2-11H2,1H3,(H,24,27)(H,28,29)	null	CC(=O)NC1C(C(C(OC1OCCCCCCCCC(=O)O)CO)O)OC2C(C(C(C(O2)CO)O)O)O	-1.5	70377867;70377868	PubChem:(70377867 70377868)	2	578.22377	161.54	405_clematis_10_species_crop2-10min_231127_orbi_siri_408	408
432	1	3	1	4	0.22823414415348034	-148.72513027763358	0.3015075376884422	14.398117878639297	C16H24N4O4	[M + H]+	RMPWIMTWMOPCAR	InChI=1S/C16H24N4O4/c1-23-12-9-11(10-13(24-2)15(12)22)5-6-14(21)19-7-3-4-8-20-16(17)18/h5-6,9-10,22H,3-4,7-8H2,1-2H3,(H,19,21)(H4,17,18,20)	null	COC1=CC(=CC(=C1O)OC)C=CC(=O)NCCCCN=C(N)N	0.400000006	129662367	PubChem:(129662367)	2	337.18748	161.32	401_clematis_10_species_crop2-10min_231127_orbi_siri_404	404
433	1	1	1	1	0.22807026703605945	-96.10220195029939	0.9999999999999999	138.6791053167683	C18H32O8	[M + H3N + H]+	YAZBAPFSBSLGJA	InChI=1S/C18H32O8/c1-2-3-4-5-11(6-7-12-8-9-14(20)24-12)25-18-17(23)16(22)15(21)13(10-19)26-18/h11-13,15-19,21-23H,2-10H2,1H3	null	CCCCCC(CCC1CCC(=O)O1)OC2C(C(C(C(O2)CO)O)O)O	1.10000002	125416585;125416586;125416587;125416588;129008969	COCONUT:(CNP0157450);Training Set;PubChem:(125416585 125416586 125416587 125416588 129008969)	2113538	394.24359	251.35	1256_clematis_10_species_crop2-10min_231127_orbi_siri_1261	1261
434	1	1	1	2	0.22657922963413393	-284.8663601505614	0.9849246231155779	151.4134375635862	C21H37NO8	[M + H]+	SVRDOZJWUSAYNV	InChI=1S/C21H37NO8/c1-12(2)11-28-21-17(22-13(3)24)19(18(25)16(10-23)30-21)29-15(20(26)27)9-14-7-5-4-6-8-14/h12,14-19,21,23,25H,4-11H2,1-3H3,(H,22,24)(H,26,27)	null	CC(C)COC1C(C(C(C(O1)CO)O)OC(CC2CCCCC2)C(=O)O)NC(=O)C	2.5	70833994	PubChem:(70833994)	2	432.25998	162.65	422_clematis_10_species_crop2-10min_231127_orbi_siri_425	425
435	1	1	1	7	0.22648287517013316	-306.811611123655	0.2884422110552764	7.301608620883228	C35H42O11	[M + H]+	DMXHGHMHPMJTAD	InChI=1S/C35H42O11/c1-18-26-15-25(16-27(18)42-20(3)36)32(41)31-19(2)28(46-30(40)14-13-24-11-9-8-10-12-24)17-29(43-21(4)37)35(31,7)34(45-23(6)39)33(26)44-22(5)38/h8-14,25,27-29,31-34,41H,2,15-17H2,1,3-7H3	null	CC1=C2CC(CC1OC(=O)C)C(C3C(=C)C(CC(C3(C(C2OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C=CC4=CC=CC=C4)O	3.89797878	""	COCONUT:(CNP0165503);SuperNatural:(SN00168762)	3145728	639.28061	592.97	1793_clematis_10_species_crop2-10min_231127_orbi_siri_1805	1805
436	1	1	1	1	0.22626542255155727	-46.463040120850124	0.9999999999999999	157.42373485145234	C40H54O3	[M + H]+	YECXHLPYMXGEBI	InChI=1S/C40H54O3/c1-28(17-13-19-30(3)21-23-35-32(5)25-34(41)26-39(35,7)8)15-11-12-16-29(2)18-14-20-31(4)22-24-36-33(6)38(43)37(42)27-40(36,9)10/h11-24,34,37,41-42H,25-27H2,1-10H3	Adonixanthin	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C	10.6000004	10303746;16061189;101920281;102523281	COCONUT:(CNP0175597);Natural Products:(UNPD104624 UNPD111022);PubChem:(10303746 16061189 101920281 102523281);SuperNatural:(SN00236355 SN00270562);CHEBI:(80217);PubChem class - bio and metabolites;MeSH:(16061189);KEGG:(C15968);Plantcyc:(CPD-7852);PubMed;Biocyc:(CPD-7852)	20089190	583.41528	593.25	1796_clematis_10_species_crop2-10min_231127_orbi_siri_1808	1808
437	1	1	1	2	0.2260932752751165	-252.5920307170306	0.9703517587939698	39.34914019263197	C8H16N4O4S	[M + K]+	FDLLYJMRDNLJLC	InChI=1S/C8H16N4O4S/c1-12-6-10-7(9)8(12)17(14,15)11-2-4-16-5-3-13/h6,11,13H,2-5,9H2,1H3	null	CN1C=NC(=C1S(=O)(=O)NCCOCCO)N	-1.29999995	64009829	PubChem:(64009829)	2	303.05342	133.99	127_clematis_10_species_crop2-10min_231127_orbi_siri_129	129
438	1	1	1	2	0.2250163325663604	-414.4471398135146	0.9768844221105529	83.97152149622286	C18H27NO13	[M + H]+	DEJTUHYDBJMSNR	InChI=1S/C18H27NO13/c1-2-29-16-7(9(23)11(16)25)19-17-13(27)12(26)15(6(4-21)30-17)32-18-14(28)10(24)8(22)5(3-20)31-18/h5-6,8,10,12-15,17-22,24,26-28H,2-4H2,1H3	null	CCOC1=C(C(=O)C1=O)NC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	-4.0	10906720	PubChem:(10906720)	2	466.15515	115.73	2_clematis_10_species_crop2-10min_231127_orbi_siri_2	2
439	1	1	1	1	0.2245225645046018	-191.17722292561248	0.9984924623115576	56.0967920589871	C19H29NO10	[M + H]+	FYMSAUJUWHOKDI	InChI=1S/C19H29NO10/c20-12-17(30-19-16(26)15(25)13(23)10(6-21)29-19)14(24)11(7-22)28-18(12)27-8-9-4-2-1-3-5-9/h1-5,10-19,21-26H,6-8,20H2	null	C1=CC=C(C=C1)COC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)N	-2.76390624	89615093;117628995;117634741	PubChem:(89615093 117628995 117634741)	2	432.18708	152.47	338_clematis_10_species_crop2-10min_231127_orbi_siri_341	341
440	1	1	1	1	0.22443691332918606	-327.38268322202396	0.9999999999999999	88.71203207373556	C12H22N3O6P	[M + Na]+	LZJIELCVFJYOLH	InChI=1S/C12H22N3O6P/c1-5-10(8(2)21-22(17,18)19-4)20-9(3)15-7-6-11(13)14-12(15)16/h6-10H,5H2,1-4H3,(H,17,18)(H2,13,14,16)	null	CCC(C(C)OP(=O)(O)OC)OC(C)N1C=CC(=NC1=O)N	-0.600000024	68197099	PubChem:(68197099)	2	358.11376	130.77	100_clematis_10_species_crop2-10min_231127_orbi_siri_102	102
441	1	2	1	1	0.22394285952170678	-123.90228539964153	0.9994974874371858	14.184598168509758	C22H32O11	[M + Na]+	KNUPPNGCEAQRSV	InChI=1S/C22H32O11/c1-4-5-11-6-7-12(13(8-11)29-3)32-22-20(28)18(26)16(24)14(33-22)9-30-21-19(27)17(25)15(23)10(2)31-21/h4,6-8,10,14-28H,1,5,9H2,2-3H3	null	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C=C(C=C3)CC=C)OC)O)O)O)O)O)O	-0.800000012	15101911;124222323	COCONUT:(CNP0337443);Natural Products:(UNPD226943 UNPD182690);PubChem:(15101911 124222323);SuperNatural:(SN00304497)	3178498	495.18548	181.8	651_clematis_10_species_crop2-10min_231127_orbi_siri_654	654
442	1	1	1	1	0.22298257915015038	-91.83632625529022	0.9999999999999999	114.79786829701008	C20H20O5	[M + H]+	JAAMBNGYCPJVDD	InChI=1S/C20H20O5/c1-11-12(2)20(14-6-8-16(22)18(10-14)24-4)25-19(11)13-5-7-15(21)17(9-13)23-3/h5-10,19-22H,1-2H2,3-4H3	null	COC1=C(C=CC(=C1)C2C(=C)C(=C)C(O2)C3=CC(=C(C=C3)O)OC)O	2.9000001	102503072;102503073	PubChem:(102503072 102503073)	2	341.13803	204.33	880_clematis_10_species_crop2-10min_231127_orbi_siri_883	883
443	1	1	1	1	0.22275291863869556	-135.7574517498161	0.9999999999999999	21.686068414010734	C19H32O11	[M + Na]+	OZCAXYWZBBRRBT	InChI=1S/C19H32O11/c1-2-3-4-5-6-7-27-19-17(15(25)13(23)11(9-21)29-19)30-18-16(26)14(24)12(22)10(8-20)28-18/h3,10-26H,1,4-9H2	null	C=C=CCCCCOC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O	-2.20000005	90954527	PubChem:(90954527)	2	459.18385	162.67	414_clematis_10_species_crop2-10min_231127_orbi_siri_417	417
444	1	1	4	8	0.2213704020377542	-31.835576339406703	0.9618090452261308	69.6859247316855	C21H28O13	[M + H3N + H]+	ZPHQZULZLQMWGY	InChI=1S/C21H28O13/c22-7-11-14(25)16(27)18(29)21(33-11)34-19-17(28)15(26)12(32-20(19)30)8-31-13(24)6-3-9-1-4-10(23)5-2-9/h1-6,11-12,14-23,25-30H,7-8H2	null	C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	-2.4000001	45359866;91228446;95224291;95224292;95224293;95224294;124903735;124903736;124903737;124903738	COCONUT:(CNP0347515);PubChem:(45359866 91228446 95224291 95224292 95224293 95224294 124903735 124903736 124903737 124903738);SuperNatural:(SN00040351 SN00040353 SN00040352 SN00040354);ZINC bio:(ZINC67911162 ZINC67911165 ZINC67911168 ZINC67911171);additional;Training Set;PubMed	3694658	506.1884	118.27	20_clematis_10_species_crop2-10min_231127_orbi_siri_20	20
445	1	1	1	1	0.2209817617228913	-53.89633425978926	0.9999999999999999	126.97618966818943	C19H32O7	[M + H]+	NYLNHNDMNOPWAZ	InChI=1S/C19H32O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h7,11,13-18,20,22-24H,5-6,8-9H2,1-4H3	(4R)-3,5,5-trimethyl-4-[(3R)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]cyclohex-2-en-1-one	CC1=CC(=O)CC(C1CCC(C)OC2C(C(C(C(O2)CO)O)O)O)(C)C	0.300000012	14135394;14135395;38346950;38346955;38346961;45359543;102383041;129316615;133561794;133562831	HMDB:(40668);SuperNatural:(SN00028467 SN00028470 SN00028468 SN00028469);ZINC bio:(ZINC31155664 ZINC31155668 ZINC31155673 ZINC31155678);additional;MeSH:(14135394 14135395 38346961 133562831);PubMed;COCONUT:(CNP0212324);KNApSAcK:(32794);Natural Products:(UNPD11219 UNPD118626 UNPD152372);PubChem:(14135394 14135395 38346950 38346955 38346961 45359543 102383041 129316615 133561794 133562831);PubChem class - bio and metabolites;Training Set	20504670	373.22254	168.92	490_clematis_10_species_crop2-10min_231127_orbi_siri_493	493
446	1	1	1	1	0.2208570676704553	-9.481513179913483	0.9999999999999999	20.126203610133835	C12H24N2O3	[M + H]+	LCPYQJIKPJDLLB	InChI=1S/C12H24N2O3/c1-7(2)5-9(13)11(15)14-10(12(16)17)6-8(3)4/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)	Leucylleucine	CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)N	1.0694524	76807;94244;6992072;6992073;6992074;6992075;6992076;6992077;6992078;21627898;44298832;61160581;78975711;103869062;129675377	HMDB:(28933);ZINC bio:(ZINC01532219 ZINC01532220 ZINC01532221 ZINC01532222);additional;MeSH:(76807 94244 6992072);Plantcyc:(L-LEUCYL-L-LEUCINE);PubMed;NORMAN:(NS00029406);COCONUT:(CNP0336094);PubChem:(76807 94244 6992072 6992073 6992074 6992075 6992076 6992077 6992078 21627898 44298832 61160581 78975711 103869062 129675377);CHEBI:(74528 6418 73839 73531);PubChem class - bio and metabolites;KEGG:(C11332);Training Set;PubChem class - drug;Biocyc:(L-LEUCYL-L-LEUCINE)	53373294	245.18622	164.26	433_clematis_10_species_crop2-10min_231127_orbi_siri_436	436
447	1	4	1	7	0.22063352264994585	-301.1080946366638	0.14723618090452262	20.794448572649088	C32H41NO10	[M + H]+	FXRBPMIYUCAHNN	InChI=1S/C32H41NO10/c1-19(2)27(34)41-25-15-14-22(17-26(25)42-28(35)20(3)4)16-24(33-31(38)43-32(6,7)8)30(37)40-21(5)18-39-29(36)23-12-10-9-11-13-23/h9-15,17,19-21,24H,16,18H2,1-8H3,(H,33,38)	null	CC(C)C(=O)OC1=C(C=C(C=C1)CC(C(=O)OC(C)COC(=O)C2=CC=CC=C2)NC(=O)OC(C)(C)C)OC(=O)C(C)C	6.4000001	86621598	PubChem:(86621598)	2	600.28036	209.59	923_clematis_10_species_crop2-10min_231127_orbi_siri_926	926
448	1	1	1	1	0.22033728918758844	-266.82551825319445	0.9628140703517588	61.950239843828236	C25H32O9	[M + H]+	ADRWLHSYJFKXIN	InChI=1S/C25H32O9/c1-15(26)33-19(8-5-17-7-10-21(28)23(12-17)31-3)14-20(34-16(2)27)9-6-18-11-22(29)25(30)24(13-18)32-4/h7,10-13,19-20,28-30H,5-6,8-9,14H2,1-4H3	null	CC(=O)OC(CCC1=CC(=C(C=C1)O)OC)CC(CCC2=CC(=C(C(=C2)OC)O)O)OC(=O)C	4.0	25123496	PubChem:(25123496)	2	477.21177	224.51	1073_clematis_10_species_crop2-10min_231127_orbi_siri_1077	1077
449	1	1	1	1	0.22032372085563595	-148.56474611580308	0.9999999999999999	127.48118191179375	C11H16NO3PS	[M + Na]+	IBXQHJNFTGEICE	InChI=1S/C11H16NO3PS/c1-4-14-16(17,15-10(2)12-13-3)11-8-6-5-7-9-11/h5-9H,4H2,1-3H3	[ethoxy(phenyl)phosphinothioyl] (1E)-N-methoxyethanimidate	CCOP(=S)(C1=CC=CC=C1)OC(=NOC)C	3.70000005	13146355;53908292	PubChem:(13146355 53908292)	2	296.04832	179.14	625_clematis_10_species_crop2-10min_231127_orbi_siri_628	628
450	1	1	1	2	0.2195283900298603	-249.40261165300532	0.8085427135678392	69.42511175968028	C20H37FO5S	[M + H]+	KYBZFTSYZNLIMK	InChI=1S/C20H37FO5S/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17(21)18-19(20(22)24-4-2)26-27(23)25-18/h17-19H,3-16H2,1-2H3	ethyl (4S,5S)-5-[(1R)-1-fluoropentadecyl]-2-oxo-1,3,2-dioxathiolane-4-carboxylate	CCCCCCCCCCCCCCC(C1C(OS(=O)O1)C(=O)OCC)F	8.0	16091339;16091352	PubChem:(16091339 16091352)	2	409.24357	157.11	365_clematis_10_species_crop2-10min_231127_orbi_siri_368	368
451	1	4	1	5	0.2190383556802454	-384.3771421530452	0.0628140703517588	77.73217389111022	C32H49N5O19	[M + K]+	SVPRKHPTVWENOC	InChI=1S/C32H49N5O19/c1-15(38)35-24-21(52-18(4)41)12-32(31(46)47-7,56-29(24)28(54-20(6)43)23(53-19(5)42)13-50-17(3)40)51-14-22-26(44)27(45)25(36-16(2)39)30(55-22)49-11-10-48-9-8-34-37-33/h21-30,44-45H,8-14H2,1-7H3,(H,35,38)(H,36,39)	null	CC(=O)NC1C(CC(OC1C(C(COC(=O)C)OC(=O)C)OC(=O)C)(C(=O)OC)OCC2C(C(C(C(O2)OCCOCCN=[N+]=[N-])NC(=O)C)O)O)OC(=O)C	-2.20000005	132502287	PubChem:(132502287)	2	846.26712	136.44	155_clematis_10_species_crop2-10min_231127_orbi_siri_158	158
452	1	1	1	1	0.21841046764053826	-20.709671353763046	0.9999999999999999	30.591691109293187	C14H31NO2	[M + H]+	YSDGSQDHXJAHIA	InChI=1S/C14H31NO2/c1-2-3-4-5-6-7-8-9-10-15(11-13-16)12-14-17/h16-17H,2-14H2,1H3	Ethanol, 2,2''-(decylimino)bis-	CCCCCCCCCCN(CCO)CCO	3.4000001	4250223	PubChem:(4250223)	2	246.24288	293.83	1417_clematis_10_species_crop2-10min_231127_orbi_siri_1428	1428
453	1	1	1	6	0.21799233862705936	-217.80202785164212	0.051256281407035184	12.71628428771723	C10H13N8O6P	[M + H]+	LDTJLOUVZFUAAI	InChI=1S/C10H13N8O6P/c11-8-7-9(14-3-13-8)18(10(15-7)16-17-12)6-1-4(19)5(24-6)2-23-25(20,21)22/h3-6,19H,1-2H2,(H2,11,13,14)(H2,20,21,22)	null	C1C(C(OC1N2C3=NC=NC(=C3N=C2N=[N+]=[N-])N)COP(=O)(O)O)O	-1.29999995	15755615	PubChem:(15755615)	2	373.07809	115.74	9_clematis_10_species_crop2-10min_231127_orbi_siri_9	9
454	1	1	1	2	0.21700560379623934	-314.04926885051543	0.9738693467336685	53.71302897282296	C22H29NO11	[M + H]+	FRWLQXNECSCABF	InChI=1S/C22H29NO11/c1-11(25)23-19-21(32-14(4)28)20(31-13(3)27)18(10-30-12(2)26)34-22(19)33-16-7-6-15(9-24)8-17(16)29-5/h6-8,18-22,24H,9-10H2,1-5H3,(H,23,25)	[5-acetamido-3,4-diacetyloxy-6-[4-(hydroxymethyl)-2-methoxyphenoxy]oxan-2-yl]methyl acetate	CC(=O)NC1C(C(C(OC1OC2=C(C=C(C=C2)CO)OC)COC(=O)C)OC(=O)C)OC(=O)C	0.0	4839563	PubChem:(4839563)	2	484.18227	170.68	455_clematis_10_species_crop2-10min_231127_orbi_siri_458	458
455	1	2	1	3	0.2169663677136335	-171.3772593886163	0.16783919597989952	6.733868149238951	C20H41NO10	[M + H]+	GOMUIIUYLTYPFE	InChI=1S/C20H41NO10/c1-2-3-4-5-6-7-8-21-9-12(24)15(26)19(13(25)10-22)31-20-18(29)17(28)16(27)14(11-23)30-20/h12-29H,2-11H2,1H3	6-(octylamino)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,4,5-tetrol	CCCCCCCCNCC(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)O)O)O)O	-1.5	475403;101681652	PubChem:(475403 101681652)	2	456.28048	222.43	1053_clematis_10_species_crop2-10min_231127_orbi_siri_1057	1057
456	1	1	1	1	0.21689383816634572	-96.00531665866693	0.9994974874371858	11.350310614488567	C16H28O8	[M + Na]+	QYNWESBWDKZIQP	InChI=1S/C16H28O8/c17-10-11-13(20)14(21)15(22)16(24-11)23-9-7-5-3-1-2-4-6-8-12(18)19/h6,8,11,13-17,20-22H,1-5,7,9-10H2,(H,18,19)	null	C(CCCC=CC(=O)O)CCCOC1C(C(C(C(O1)CO)O)O)O	0.600000024	101431890	COCONUT:(CNP0291300);Natural Products:(UNPD160660);PubChem:(101431890);SuperNatural:(SN00321071)	3178498	371.16793	199.91	822_clematis_10_species_crop2-10min_231127_orbi_siri_825	825
457	1	1	1	1	0.21655253751144643	-250.15274795286018	0.9999999999999999	105.9592611593081	C21H39NO7	[M + H]+	XDEDWXKSVHWNEZ	InChI=1S/C21H39NO7/c1-10-4-5-13(8-22)27-19(10)17-11(2)6-12(3)20(18(17)26)29-21-15(25)7-14(24)16(9-23)28-21/h10-21,23-26H,4-9,22H2,1-3H3	null	CC1CCC(OC1C2C(CC(C(C2O)OC3C(CC(C(O3)CO)O)O)C)C)CN	0.699999988	91434645	PubChem:(91434645)	2	418.27987	217.08	1013_clematis_10_species_crop2-10min_231127_orbi_siri_1016	1016
458	1	1	1	1	0.2163830109764611	-77.21719889689192	0.0	26.234083040646617	C21H34O8	[M + Na]+	VKBKLEZXPXPBAV	InChI=1S/C21H34O8/c1-10(2)13-7-15(24)12(4)14(23)6-5-11(3)16(8-13)28-21-20(27)19(26)18(25)17(9-22)29-21/h13-27H,1,3-9H2,2H3	null	CC(=C)C1CC(C(=C)C(CCC(=C)C(C1)OC2C(C(C(C(O2)CO)O)O)O)O)O	-0.400000006	24011593	PubChem:(24011593)	2	437.21484	279.22	1368_clematis_10_species_crop2-10min_231127_orbi_siri_1377	1377
459	1	1	1	1	0.215794726098347	-13.266115900813656	0.9999999999999999	55.46546984932428	C23H22O11	[M + Na]+	AGQLGMXLTFMOAP	InChI=1S/C23H22O11/c1-9-20(32-10(2)24)18(29)19(30)23(31-9)34-22-17(28)16-14(27)7-13(26)8-15(16)33-21(22)11-3-5-12(25)6-4-11/h3-9,18-20,23,25-27,29-30H,1-2H3	4''''-O-Acetylafzelin	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)OC(=O)C	1.79999995	10624340;11525750;14861229;44258955;51030804;88978906	COCONUT:(CNP0245095);HMDB:(39746);KNApSAcK:(5862);Natural Products:(UNPD21967 UNPD87266 UNPD169644);PubChem:(10624340 11525750 14861229 44258955 51030804 88978906);SuperNatural:(SN00361671 SN00330534);PubChem class - bio and metabolites;PubMed	19955802	497.10523	255.53	1275_clematis_10_species_crop2-10min_231127_orbi_siri_1281	1281
460	1	1	1	1	0.21577055844661644	-126.9280816507878	0.9999999999999999	50.7690070074319	C15H8O7	[M + H]+	ZJXVNNSMRGTDBI	InChI=1S/C15H8O7/c16-6-3-8-12(10(18)4-6)14(20)11-7(13(8)19)1-5(15(21)22)2-9(11)17/h1-4,16-18H,(H,21,22)	Emodic acid	C1=C(C=C(C2=C1C(=O)C3=C(C2=O)C(=CC(=C3)O)O)O)C(=O)O	1.89999998	361510	COCONUT:(CNP0138605 CNP0388349);Natural Products:(UNPD109351);PubChem:(361510);SuperNatural:(SN00006163 SN00354930);CHEBI:(93655);ZINC bio:(ZINC03977762);additional;Training Set;PubMed;KEGG Mine	8593662050	301.0351	185.11	684_clematis_10_species_crop2-10min_231127_orbi_siri_687	687
461	1	2	1	1	0.2146991493204031	-317.2321492084396	0.9879396984924624	30.414638021507038	C20H39NO8	[M + H]+	RBFFMACDYURUTR	InChI=1S/C20H39NO8/c1-5-6-21-20(27)19(26)18(25)14(15(24)7-22)9-28-10-17-13(4)11(2)12(3)16(8-23)29-17/h11-19,22-26H,5-10H2,1-4H3,(H,21,27)	2,3,5,6-tetrahydroxy-4-[[6-(hydroxymethyl)-3,4,5-trimethyloxan-2-yl]methoxymethyl]-N-propylhexanamide	CCCNC(=O)C(C(C(COCC1C(C(C(C(O1)CO)C)C)C)C(CO)O)O)O	-0.5	6711472	PubChem:(6711472)	2	422.27461	251.35	1251_clematis_10_species_crop2-10min_231127_orbi_siri_1256	1256
462	1	2	1	2	0.21469242907160888	-170.74427399754907	0.061306532663316586	17.269423561180474	C19H21N5O5	[M + H]+	OBBPRMVOXHJWGP	InChI=1S/C19H21N5O5/c1-23-16-15(18(26)24(2)19(23)27)21-14(22-16)4-3-7-20-17(25)11-5-6-12-13(10-11)29-9-8-28-12/h5-6,10H,3-4,7-9H2,1-2H3,(H,20,25)(H,21,22)	null	CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CCCNC(=O)C3=CC4=C(C=C3)OCCO4	1.0	91948178	PubChem:(91948178)	2	400.1608	134.56	151_clematis_10_species_crop2-10min_231127_orbi_siri_154	154
463	1	4	1	7	0.21454073310188165	-330.81269520847974	0.5261306532663317	14.483286157270186	C36H36N4O8	[M + H]+	MNNFHSHHQNZIOJ	InChI=1S/C36H36N4O8/c1-17-21(5-9-33(41)42)29-14-27-19(3)22(6-10-34(43)44)30(39-27)15-28-20(4)24(8-12-36(47)48)32(40-28)16-31-23(7-11-35(45)46)18(2)26(38-31)13-25(17)37-29/h7,11,13-16,38,40H,5-6,8-10,12H2,1-4H3,(H,41,42)(H,43,44)(H,45,46)(H,47,48)	null	CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)CCC(=O)O)C)CCC(=O)O)C)C)C=CC(=O)O)CCC(=O)O	2.79999995	42626840	PubChem:(42626840)	2	653.26011	588.98	1787_clematis_10_species_crop2-10min_231127_orbi_siri_1799	1799
464	1	1	1	4	0.21424557879911257	-356.0710385915294	0.8211055276381909	128.37554596931156	C24H33BN2O3	[M + H]+	GGUWZERILVHVLB	InChI=1S/C24H33BN2O3/c1-19(17-20-11-5-3-6-12-20)27(25(2)29)18-21-13-9-10-16-23(21)26-24(28)30-22-14-7-4-8-15-22/h4,7-10,13-16,19-20,29H,3,5-6,11-12,17-18H2,1-2H3,(H,26,28)	null	B(C)(N(CC1=CC=CC=C1NC(=O)OC2=CC=CC=C2)C(C)CC3CCCCC3)O	6.49514961	57829892	PubChem:(57829892)	2	408.2684	430.88	1554_clematis_10_species_crop2-10min_231127_orbi_siri_1565	1565
465	1	1	1	1	0.21359098812678542	-59.43045750086899	0.9999999999999999	136.55977693536266	C19H32O4	[M + H]+	CJAPEDAGVPMKOH	InChI=1S/C19H32O4/c1-3-16-22-18(20)14-12-10-8-6-5-7-9-11-13-15-19(21)23-17-4-2/h3-4H,1-2,5-17H2	Tridecanedioic acid, di-2-propenyl ester	C=CCOC(=O)CCCCCCCCCCCC(=O)OCC=C	5.69999981	53723799	PubChem:(53723799)	2	325.23787	395.28	1507_clematis_10_species_crop2-10min_231127_orbi_siri_1518	1518
466	1	7	1	8	0.21345177442906152	-368.4934535524621	0.012562814070351761	65.08529061606491	C26H39N9O9	[M + K]+	GFNFUVDYMMKGST	InChI=1S/C26H39N9O9/c1-14(23(42)32-13-22(40)41)33-20(38)12-31-24(43)18(4-3-9-29-26(27)28)35-25(44)19(34-21(39)11-30-15(2)36)10-16-5-7-17(37)8-6-16/h5-8,14,18-19,37H,3-4,9-13H2,1-2H3,(H,30,36)(H,31,43)(H,32,42)(H,33,38)(H,34,39)(H,35,44)(H,40,41)(H4,27,28,29)	null	CC(C(=O)NCC(=O)O)NC(=O)CNC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CNC(=O)C	-2.9000001	102494217	PubChem:(102494217)	2	660.25	219.7	1036_clematis_10_species_crop2-10min_231127_orbi_siri_1040	1040
467	1	1	1	1	0.21281415559116984	-34.834732744916515	0.9999999999999999	61.75474505703306	C11H9NO2	[M + H]+	SXOUIMVOMIGLHO	InChI=1S/C11H9NO2/c13-11(14)6-5-9-7-8-3-1-2-4-10(8)12-9/h1-7,12H,(H,13,14)	3-indoleacrylate	C1=CC=C2C(=C1)C=C(N2)C=CC(=O)O	1.99224496	15030923;54329873	NORMAN:(NS00015052);COCONUT:(CNP0200421);HMDB:(734);PubChem:(15030923 54329873);CHEBI:(90333);ZINC bio:(ZINC12494290);PubChem class - bio and metabolites;Training Set;PubMed	19161194	188.07059	122.14	40_clematis_10_species_crop2-10min_231127_orbi_siri_41	41
468	1	1	1	1	0.21278278983549792	-219.16627634286422	0.9999999999999999	72.73995760785036	C18H27NO8	[M + H]+	JCUOTGUKHCNZBX	InChI=1S/C18H27NO8/c20-10-13-14(21)15(22)16(23)17(27-13)25-9-5-4-8-19-18(24)26-11-12-6-2-1-3-7-12/h1-3,6-7,13-17,20-23H,4-5,8-11H2,(H,19,24)	null	C1=CC=C(C=C1)COC(=O)NCCCCOC2C(C(C(C(O2)CO)O)O)O	-0.100000001	102231078;102231079;102231080;102231090;102231091	PubChem:(102231078 102231079 102231080 102231090 102231091)	2	386.18147	278.41	1365_clematis_10_species_crop2-10min_231127_orbi_siri_1374	1374
