molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus	ConfidenceScore_sirius	CSI:FingerIDScore_sirius	ZodiacScore_sirius	SiriusScore_sirius	molecularFormula_sirius	adduct_sirius	InChIkey2D_sirius	InChI_sirius	name_sirius	smiles_sirius	xlogp_sirius	ionMass_sirius	Unnamed: 0_metAnnot	rank_spec_metAnnot	msms_score_metAnnot	libname_metAnnot	structure_wikidata_metAnnot	structure_inchikey_metAnnot	structure_inchi_metAnnot	structure_smiles_metAnnot	structure_molecular_formula_metAnnot	adduct_metAnnot	structure_exact_mass_metAnnot	structure_nameTraditional_metAnnot	short_inchikey_metAnnot	structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_metAnnot	organism_wikidata_metAnnot	organism_name_metAnnot	organism_taxonomy_ottid_metAnnot	organism_taxonomy_01domain_metAnnot	organism_taxonomy_02kingdom_metAnnot	organism_taxonomy_03phylum_metAnnot	organism_taxonomy_04class_metAnnot	organism_taxonomy_05order_metAnnot	organism_taxonomy_06family_metAnnot	organism_taxonomy_07tribe_metAnnot	organism_taxonomy_08genus_metAnnot	organism_taxonomy_09species_metAnnot	organism_taxonomy_10varietas_metAnnot	matched_domain_metAnnot	matched_kingdom_metAnnot	matched_phylum_metAnnot	matched_class_metAnnot	matched_order_metAnnot	matched_family_metAnnot	matched_tribe_metAnnot	matched_genus_metAnnot	matched_species_metAnnot	score_taxo_metAnnot	score_max_consistency_metAnnot	final_score_metAnnot	rank_final_metAnnot	component_id_metAnnot	structure_taxonomy_npclassifier_01pathway_consensus_metAnnot	freq_structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_consensus_metAnnot	freq_structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_consensus_metAnnot	freq_structure_taxonomy_npclassifier_03class_metAnnot	shared_id
C40H64O5	[M + H]+	Terpenoids	Triterpenoids	Catechols with side chains	0.0899385918216676	-116.9237880162276		144.50067040530718	C38H66O5	[M + Na]+	MWAZCJONPGINBY	InChI=1S/C38H66O5/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-37(40)42-35-36(34-39)43-38(41)33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h10-13,16-19,36,39H,3-9,14-15,20-35H2,1-2H3		CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCCCC	12.3999996	625.4829986554363																																																		646
C40H54O4	[M + H]+	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	0.1105893311961431	-48.539316081256906		285.6009325650831	C40H54O4	[M + H]+	DNKQGUYVWUAYIE	InChI=1S/C40H54O4/c1-27(17-13-19-29(3)21-23-33-31(5)37(43)35(41)25-39(33,7)8)15-11-12-16-28(2)18-14-20-30(4)22-24-34-32(6)38(44)36(42)26-40(34,9)10/h11-24,35-37,41-43H,25-26H2,1-10H3	3-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-(3,4-dihydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-6-hydroxy-2,4,4-trimethylcyclohex-2-en-1-one	CC1=C(C(CC(C1O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C	9.5	599.4097860347877	128.0	7.0	0.25285947	ISDB	http://www.wikidata.org/entity/Q63409191	JVHYYZMBYJJGJM-ZMDGZUOKSA-N	InChI=1S/C40H54O4/c1-29(17-13-19-31(3)21-22-35(42)38(9)26-33(41)25-36(38,5)6)15-11-12-16-30(2)18-14-20-32(4)23-24-40-37(7,8)27-34(44-40)28-39(40,10)43/h11-24,34,43H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,22-21+,24-23+,29-15+,30-16+,31-19+,32-20+/t34-,38-,39+,40+/m0/s1	CC(/C=C/C=C(C)/C=C/C(=O)[C@]1(C)CC(=O)CC1(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]12O[C@@H](CC1(C)C)C[C@@]2(C)O	C40H54O4		598.402210208	Capsanthone-3,6-epoxide	JVHYYZMBYJJGJM	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-κ)	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.011437892913818	1	43.0	Terpenoids	0.6710526315789473	Carotenoids (C40)	0.3026315789473684	Carotenoids (C40, β-β)	0.2763157894736842	1321
C24H39NO5	[M + H]+	Alkaloids	Pseudoalkaloids	N-acyl amines	0.0591108813850982	-164.87051347441158		113.13713329535877	C22H41NO5	[M + Na]+	DHNVRAWLIZFMII	InChI=1S/C22H41NO5/c24-20(23-19-22(27)28)17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18-21(25)26/h1-19H2,(H,23,24)(H,25,26)(H,27,28)		C(CCCCCCCCCC(=O)O)CCCCCCCCC(=O)NCC(=O)O	6.9000001	422.2896000796943	2270.0	5.0|5.0|5.0|5.0	0.0|0.0|0.0|0.0	MS1_match|MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q104394449|http://www.wikidata.org/entity/Q104994091|http://www.wikidata.org/entity/Q104402247|http://www.wikidata.org/entity/Q105230649	BDCURAWBZJMFIK-FIIQKEKKSA-N|FEOORLCKDHTOCS-SMCICNQZSA-N|XWDPXXKARIDOBG-SMCICNQZSA-N|QYUGOUBBYKWQFZ-OPOJCKMMSA-N	InChI=1S/C24H39NO5/c1-5-25-11-22(12-28-2)7-6-18(30-4)24-14-8-13-16(29-3)10-23(27,19(14)20(13)26)15(21(24)25)9-17(22)24/h13-21,26-27H,5-12H2,1-4H3/t13-,14-,15?,16+,17-,18+,19-,20+,21?,22+,23+,24?/m1/s1|InChI=1S/C24H39NO5/c1-6-25-11-22(2)8-7-15(29-4)24-13-9-12-14(28-3)10-23(27,16(13)18(12)26)17(21(24)25)19(30-5)20(22)24/h12-21,26-27H,6-11H2,1-5H3/t12-,13-,14+,15+,16-,17+,18+,19+,20-,21-,22+,23-,24+/m1/s1|InChI=1S/C24H39NO5/c1-6-25-11-22(2)8-7-15(29-4)24-13-9-12-14(28-3)10-23(30-5,16(13)18(12)26)17(21(24)25)19(27)20(22)24/h12-21,26-27H,6-11H2,1-5H3/t12-,13-,14+,15+,16-,17+,18+,19+,20-,21-,22+,23-,24+/m1/s1|InChI=1S/C23H35NO4/c1-4-24-11-21(12-27-2)7-6-17(28-3)23-14-9-13-5-8-22(26,18(14)19(13)25)15(20(23)24)10-16(21)23/h5,8,13-20,25-26H,4,6-7,9-12H2,1-3H3/t13-,14+,15-,16+,17-,18+,19-,20+,21-,22-,23+/m0/s1	CCN1C[C@]2(COC)CC[C@H](OC)C34C1C(C[C@@H]32)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@@H]1[C@H]2O|CCN1C[C@]2(C)CC[C@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](O)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@H]([C@H](OC)[C@H]23)[C@@H]14|CCN1C[C@]2(C)CC[C@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](O)[C@@H]5[C@](OC)(C[C@@H]6OC)[C@@H]([C@H](O)[C@H]23)[C@@H]14|CCN1C[C@]2(COC)CC[C@H](OC)[C@@]34[C@@H]5C[C@@H]6C=C[C@@](O)([C@H]5[C@H]6O)[C@@H](C[C@H]23)[C@@H]14	C24H39NO5|C24H39NO5|C24H39NO5|C23H35NO4	pos_1_1proton|pos_1_1proton|pos_1_1proton|pos_1_1proton1methanol	421.282823348|421.2828233479999|421.2828233479999|389.2566086	(2R,3R,4S,5S,6S,8S,13S,16S,17R)-11-ethyl-6,16-dimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-4,8-diol|Royleinine|Peregrine alcohol|Liljestrandinine	BDCURAWBZJMFIK|FEOORLCKDHTOCS|XWDPXXKARIDOBG|QYUGOUBBYKWQFZ	Alkaloids|Alkaloids|Alkaloids|Alkaloids	Pseudoalkaloids|Pseudoalkaloids|Pseudoalkaloids|Pseudoalkaloids	Terpenoid alkaloids|Terpenoid alkaloids|Terpenoid alkaloids|Terpenoid alkaloids	http://www.wikidata.org/entity/Q11105778|http://www.wikidata.org/entity/Q15373937|http://www.wikidata.org/entity/Q15372274|http://www.wikidata.org/entity/Q15251883	Aconitum nemorum|Delphinium roylei|Delphinium gueneri|Aconitum liljestrandii	44343.0|6131791.0|6131660.0|556434.0	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']|['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']|['Ranunculaceae']|['Ranunculaceae']	['Delphinieae']|['Delphinieae']|['Delphinieae']|['Delphinieae']	['Aconitum']|['Delphinium']|['Delphinium']|['Aconitum']	['Aconitum nemorum']|['Delphinium roylei']|['Delphinium gueneri']|['Aconitum liljestrandii']	nan|nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']|['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']|['Ranunculaceae']|['Ranunculaceae']	nan|nan|nan|nan	nan|nan|nan|nan	nan|nan|nan|nan	6|6|6|6	3|3|3|3	7.5|7.5|7.5|7.5	1|1|1|1	84.0	Terpenoids	0.3684210526315789	Diterpenoids	0.1578947368421052	Terpenoid alkaloids	0.1578947368421052	7385
C20H35NO10	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides	0.1296448644710697	-104.11619282436936		103.16194897968684	C16H31N7O8	[M + H]+	KWLWBFOJESAQET	InChI=1S/C16H31N7O8/c1-7(26)11(15(30)31)23-14(29)10(6-25)22-13(28)9(5-24)21-12(27)8(17)3-2-4-20-16(18)19/h7-11,24-26H,2-6,17H2,1H3,(H,21,27)(H,22,28)(H,23,29)(H,30,31)(H4,18,19,20)	2-[[2-[[2-[[2-amino-5-(diaminomethylideneamino)pentanoyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxybutanoic acid	CC(C(C(=O)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CCCN=C(N)N)N)O	-7.69999981	450.2327327578628	1103.0	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104953839	CCTSZLOYMHLMHP-UHFFFAOYSA-N	InChI=1S/C10H16O5/c1-10(14)7(12)2-6-5(3-11)4-15-9(13)8(6)10/h5-8,11-12,14H,2-4H2,1H3	CC1(O)C(O)CC2C(CO)COC(=O)C21	C10H16O5	pos_2MHNH3	216.099773612	Longiflorone	CCTSZLOYMHLMHP	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	http://www.wikidata.org/entity/Q912252	Valeriana jatamansi	1035981.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana jatamansi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	2	7.0	1	678.0	Alkaloids	0.4	Monoterpenoids	0.2	Terpenoid alkaloids	0.2	4021
C13H28N3O8PS	[M + Na]+	Fatty acids	Nucleosides	Pyrimidine nucleos(t)ides	0.2887395975928919	-267.411241512598		45.10001799070918	C15H23FN3O9P	[M + H]+	CPFKVLLOQSALHE	InChI=1S/C15H23FN3O9P/c1-7(2)27-14(22)8(3)18-29(24,25)26-6-11-10(20)4-12(28-11)19-5-9(16)13(21)17-15(19)23/h5,7-8,10-12,20H,4,6H2,1-3H3,(H,17,21,23)(H2,18,24,25)		CC(C)OC(=O)C(C)NP(=O)(O)OCC1C(CC(O1)N2C=C(C(=O)NC2=O)F)O	-0.639765084	440.1223288839578																																																		7216
C6H13N3O2	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids	0.2303312187208692	-44.70288229065145		79.06153654403279	C6H13N3O2	[M + H]+	VWTSOOGDOGWMCZ	InChI=1S/C6H13N3O2/c1-8-6(7)9-4-2-3-5(10)11/h2-4H2,1H3,(H,10,11)(H3,7,8,9)	4-[(N''-methylcarbamimidoyl)amino]butanoate	CN=C(N)NCCCC(=O)O	-1.0	160.10802891994558																																																		2496
C36H54O8	[M + H]+	Polyketides	Macrolides	Open-chain polyketides	0.0986558061972841	-127.6179583755269		22.622860181607287	C29H59O11P	[M + H]+	FHYCYULARSUKFT	InChI=1S/C29H59O11P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-38-21-23(30)22-39-41(36,37)40-29-27(34)25(32)24(31)26(33)28(29)35/h23-35H,2-22H2,1H3,(H,36,37)	1-eicosyl-glycero-3-phospho-(1''-myo-inositol)	CCCCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)O	4.9000001	615.3881297177002																																																		7058
C28H37NO15	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavanones	0.3076662977167878	-617.0221041297405		43.39191067869581	C26H36N7O8P	[M + Na]+	IRGUBVPFAZTLCI	InChI=1S/C26H36N7O8P/c1-14(2)39-23(35)15(3)32-42(37,41-17-8-6-5-7-9-17)38-12-18-20(34)26(4,36)24(40-18)33-13-28-19-21(29-16-10-11-16)30-25(27)31-22(19)33/h5-9,13-16,18,20,24,34,36H,10-12H2,1-4H3,(H,32,37)(H3,27,29,30,31)		CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)N)NC4CC4)(C)O)O)OC5=CC=CC=C5	1.20000005	628.2247361382791																																																		5600
C21H25NO12	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Cinnamic acids and derivatives	0.3044843982254434	-213.5787123054178		19.80299712381455	C20H23N5O8	[M + Na]+	PAWXQJFDYFJIOH	InChI=1S/C20H23N5O8/c1-29-10-4-9(5-11(30-2)16(10)31-3)20(28)32-6-12-14(26)15(27)19(33-12)25-8-24-13-17(21)22-7-23-18(13)25/h4-5,7-8,12,14-15,19,26-27H,6H2,1-3H3,(H2,21,22,23)		COC1=CC(=CC(=C1OC)OC)C(=O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O	0.0555385724	484.14432935922326																																																		5666
C20H34B3N5O6	[M + K]+	Terpenoids	Small peptides	Pinane monoterpenoids	0.0306488632959718	-222.94396610887736		39.2451791143308	C26H38N4O4	[M + K]+	IYZRMCDZYUWTOA	InChI=1S/C26H38N4O4/c31-25(33-21-23-11-3-1-4-12-23)29-19-9-17-27-15-7-8-16-28-18-10-20-30-26(32)34-22-24-13-5-2-6-14-24/h1-6,11-14,27-28H,7-10,15-22H2,(H,29,31)(H,30,32)	2,6,11,15-Tetraazahexadecanedioic acid, bis(phenylmethyl) ester	C1=CC=C(C=C1)COC(=O)NCCCNCCCCNCCCNC(=O)OCC2=CC=CC=C2	3.20000005	509.2512448785432																																																		7079
C22H18O12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	0.540461880594907	-29.376069271112947		47.20174318104179	C22H18O12	[M + H]+	YDDGKXBLOXEEMN	InChI=1S/C22H18O12/c23-13-5-1-11(9-15(13)25)3-7-17(27)33-19(21(29)30)20(22(31)32)34-18(28)8-4-12-2-6-14(24)16(26)10-12/h1-10,19-20,23-26H,(H,29,30)(H,31,32)	meso-DCTA	C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O	2.0	475.0872650146485	2113.0	1.0	0.7823456	ISDB	http://www.wikidata.org/entity/Q105346687	YDDGKXBLOXEEMN-XAKUNQSDSA-N	InChI=1S/C22H18O12/c23-13-5-1-11(9-15(13)25)3-7-17(27)33-19(21(29)30)20(22(31)32)34-18(28)8-4-12-2-6-14(24)16(26)10-12/h1-10,19-20,23-26H,(H,29,30)(H,31,32)/b7-3+,8-4+/t19-,20+	O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O	C22H18O12		474.0798260159999	(2S,1R)-1,2-Bis(3-(3,4-dihydroxyphenyl)prop-2-enoyloxy)ethane-1,2-dicarboxylic acid	YDDGKXBLOXEEMN	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q287809	Pulsatilla cernua	542352.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Pulsatilla']	['Pulsatilla cernua']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']			7	0	10.129382371902466	1	-1.0							6901
C13H18O2	[M + H]+	Fatty acids	Fatty esters	Unsaturated fatty acids	0.1536177536271157	-61.36207837525672		158.2623592078931	C13H18O2	[M + H]+	NWNSAIJDNUYFIY	InChI=1S/C13H18O2/c1-2-3-4-5-6-7-8-9-10-11-12-13(14)15/h1,5-8H,3-4,9-12H2,(H,14,15)		C#CCCC=CC=CCCCCC(=O)O	3.0999999	207.1380340258836	152.0	41.0	0.2960968	ISDB	http://www.wikidata.org/entity/Q110192190	UASMTJSLCCDICT-UHFFFAOYSA-N	InChI=1S/C13H18O2/c1-9-3-2-4-11(13(14)15)8-12-7-10(12)6-5-9/h3,8,10,12H,2,4-7H2,1H3,(H,14,15)	CC1=CCCC(C(=O)O)=CC2CC2CC1	C13H18O2		206.130679816	7-Methylbicyclo[8.1.0]undeca-2,6-diene-3-carboxylic acid	UASMTJSLCCDICT	Terpenoids	Sesquiterpenoids	Bicyclogermacrane sesquiterpenoids	http://www.wikidata.org/entity/Q85194805	Valeriana dageletiana	7625130.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana dageletiana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	2	8.18438720703125	1	131.0	Terpenoids	0.8888888888888888	Sesquiterpenoids	0.8888888888888888	Bufadienolides	0.2222222222222222	1387
C18H28O4	[M + H]+	Fatty acids	Octadecanoids	Open-chain polyketides	0.1133332373445119	-60.47371563643717		164.1771362513276	C18H28O4	[M + H]+	OXXJZDJLYSMGIQ	InChI=1S/C18H28O4/c1-2-15(19)12-10-14-11-13-17(20)16(14)8-6-4-3-5-7-9-18(21)22/h10-16,19H,2-9H2,1H3,(H,21,22)	Phytoprostane A1	CCC(C=CC1C=CC(=O)C1CCCCCCCC(=O)O)O	3.5	309.20562744140625	2280.0	1.0|1.0|1.0	0.0|0.0|0.0	MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q105170136|http://www.wikidata.org/entity/Q104933531|http://www.wikidata.org/entity/Q110192177	MQNYOYOQPDJLJV-PEXFBTPGSA-N|BESWSXOVDJDSKQ-HUJQHWLQSA-N|VGOHBZXHAWVRBT-UHFFFAOYSA-N	InChI=1S/C17H24O3/c1-12(18)20-11-13-5-4-6-14(19)8-10-16-15(9-7-13)17(16,2)3/h5,8,10,15-16H,4,6-7,9,11H2,1-3H3/b10-8-,13-5+/t15-,16+/m1/s1|InChI=1S/C17H24O3/c1-11-6-5-7-13(19)8-9-14-16(17(14,3)4)15(10-11)20-12(2)18/h6,8-9,14-16H,5,7,10H2,1-4H3/b9-8-,11-6-/t14-,15+,16-/m0/s1|InChI=1S/C17H24O3/c1-12(19)20-11-13-5-4-6-14(10-18)9-16-15(8-7-13)17(16,2)3/h5,9-10,15-16H,4,6-8,11H2,1-3H3	CC(=O)OC/C1=C/CCC(=O)/C=C\[C@H]2[C@@H](CC1)C2(C)C|CC(=O)O[C@@H]1C/C(C)=C\CCC(=O)/C=C\[C@H]2[C@@H]1C2(C)C|CC(=O)OCC1=CCCC(C=O)=CC2C(CC1)C2(C)C	C17H24O3|C17H24O3|C17H24O3	pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol	276.172544628|276.172544628|276.172544628	[(1R,4E,9Z,11S)-12,12-dimethyl-8-oxo-4-bicyclo[9.1.0]dodeca-4,9-dienyl]methyl acetate|(1alpha,2Z,7Z,10R,11alpha)-8,12,12-Trimethyl-10beta-acetoxybicyclo[9.1.0]dodeca-2,7-diene-4-one|(8-Formyl-11,11-dimethyl-4-bicyclo[8.1.0]undeca-4,8-dienyl)methyl acetate	MQNYOYOQPDJLJV|BESWSXOVDJDSKQ|VGOHBZXHAWVRBT	Terpenoids|Terpenoids|Terpenoids	Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids	Bicyclogermacrane sesquiterpenoids|Bicyclogermacrane sesquiterpenoids|Bicyclogermacrane sesquiterpenoids	http://www.wikidata.org/entity/Q157819|http://www.wikidata.org/entity/Q157819|http://www.wikidata.org/entity/Q85194805	Valeriana officinalis|Valeriana officinalis|Valeriana dageletiana	393341.0|393341.0|7625130.0	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Dipsacales']|['Dipsacales']|['Dipsacales']	['Caprifoliaceae']|['Caprifoliaceae']|['Caprifoliaceae']	['Unknown']|['Unknown']|['Unknown']	['Valeriana']|['Valeriana']|['Valeriana']	['Valeriana officinalis']|['Valeriana officinalis']|['Valeriana dageletiana']	nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Dipsacales']|['Dipsacales']|['Dipsacales']	['Caprifoliaceae']|['Caprifoliaceae']|['Caprifoliaceae']	nan|nan|nan	nan|nan|nan	nan|nan|nan	6|6|6	3|3|3	7.5|7.5|7.5	1|1|1	1041.0	Terpenoids	1.0	Sesquiterpenoids	1.0	Bicyclogermacrane sesquiterpenoids	0.5	7422
C42H80NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.1902423468302108	-4.570011695275517		36.17044684351768	C42H80NO8P	[M + Na]+	JFWZYNWHJJSDAY	InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-25-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-24-17-15-13-11-9-7-2/h14,16,19-20,40H,6-13,15,17-18,21-39H2,1-5H3/p+1	Phosphatidylcholine(20:2/14:0)	CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC[N+](C)(C)C	13.0	780.5531005859375	2153.0	6.0	0.8579796	ISDB	http://www.wikidata.org/entity/Q27161780	MGUTYWPZCZBAGE-JZDIRDTQSA-N	InChI=1S/C44H78NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-17-15-13-11-9-7-2/h14,16,19-20,22-23,25,27,31,33,42H,6-13,15,17-18,21,24,26,28-30,32,34-41H2,1-5H3/b16-14-,20-19-,23-22-,27-25-,33-31-/t42-/m1/s1	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C44H78NO8P		779.546505086	PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))	MGUTYWPZCZBAGE	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q2240005	Lysiphlebia japonica	697724.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Braconidae']	['Unknown']	['Lysiphlebia']	['Lysiphlebia japonica']		['Eukaryota']									1	3	5.931918382644653	1	559.0	Fatty acids	0.75	Glycerophospholipids	0.75	Glycerophosphocholines	0.75	7036
C22H32N2O6	[M + H]+	Alkaloids	Small peptides	Dipeptides	0.4000755117632939	-8.459266173380477		15.820799770073693	C18H39O7P	[M + Na]+	WTLBZVNBAKMVDP	InChI=1S/C18H39O7P/c1-4-7-10-20-13-16-23-26(19,24-17-14-21-11-8-5-2)25-18-15-22-12-9-6-3/h4-18H2,1-3H3	Phosflex T-bep	CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	2.79999995	421.2323096688122																																																		1933
C21H34O6	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides	0.1363553610299672	-110.0456330205721		128.08083691806436	C21H34O6	[M + H]+	QDWVWUOHQZJSOX	InChI=1S/C21H34O6/c1-6-11-23-17-19(25-13-8-3)21(27-15-10-5)20(26-14-9-4)18(16-22)24-12-7-2/h6-15,18-22H,16-17H2,1-5H3		CC=COCC(C(C(C(CO)OC=CC)OC=CC)OC=CC)OC=CC	4.0	383.24268590313136	198.0	23.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104954557	CDKNUBLSEZJSAU-YIXWCVDNSA-N	InChI=1S/C20H30O5/c1-17(15(21)22)7-3-8-20(16(23)24)13(17)6-9-19-10-12(4-5-14(19)20)18(2,25)11-19/h12-14,25H,3-11H2,1-2H3,(H,21,22)(H,23,24)/t12-,13-,14-,17-,18-,19+,20+/m1/s1	C[C@@]1(C(=O)O)CCC[C@@]2(C(=O)O)[C@@H]3CC[C@@H]4C[C@@]3(CC[C@@H]21)C[C@@]4(C)O	C20H30O5	pos_1_1proton1methanol	350.20932406	(1S,4R,5R,9R,10R,13R,14R)-14-hydroxy-5,14-dimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5,9-dicarboxylic acid	CDKNUBLSEZJSAU	Terpenoids	Diterpenoids	Gibberellins	http://www.wikidata.org/entity/Q1424919	Tripterygium wilfordii	300831.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	['Unknown']	['Tripterygium']	['Tripterygium wilfordii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']				6	1	6.5	1	327.0	Terpenoids	0.3111111111111111	Sesquiterpenoids	0.2222222222222222	Bicyclogermacrane sesquiterpenoids	0.0888888888888888	1524
